,Name,Position,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA
0,dylan cease,SP,2024,28,762,684,137,84,34,1,18,224,65,29.4,8.5,0.2,0.332,0.269,0.601,0.21,0.358,0.266,0.283,0.28,0.148,0.333,0.361,-0.01,-0.026,-0.017,71.3,89.0,14.1,32.4,8.5,7.2,38.6,78.28270224,94.08470927,68.5,22.1,32.4,48.2,4.1,119,3.1,3.47
1,tyler anderson,SP,2024,34,765,681,158,99,32,3,24,142,73,18.6,9.5,0.232,0.394,0.311,0.705,0.245,0.413,0.308,0.322,0.323,0.168,0.334,0.354,-0.013,-0.019,-0.014,72.1,87.2,17.6,34.1,7.9,5.9,33.0,76.27353733,93.1219435,71.5,20.8,27.8,49.3,3.0,109,4.66,3.81
2,chris sale,SP,2024,35,702,652,141,96,32,4,9,225,39,32.1,5.6,0.216,0.319,0.269,0.588,0.213,0.317,0.26,0.261,0.266,0.105,0.35,0.351,0.003,0.002,-0.001,70.6,86.5,9.6,34.9,5.6,4.9,31.2,75.01680509,93.04619066,63.9,21.7,31.0,49.0,6.2,174,2.09,2.38
3,erick fedde,SP,2024,31,726,661,154,100,30,4,20,154,52,21.2,7.2,0.233,0.381,0.291,0.672,0.245,0.394,0.293,0.306,0.303,0.149,0.337,0.355,-0.012,-0.013,-0.013,71.6,88.6,14.9,32.4,7.6,6.0,37.7,77.50250055,93.94163216,68.4,15.3,21.6,45.5,5.6,126,3.86,3.3
4,framber valdez,SP,2024,30,703,634,140,102,24,1,13,169,55,24.0,7.8,0.221,0.323,0.287,0.61,0.233,0.34,0.272,0.287,0.301,0.106,0.315,0.337,-0.012,-0.017,-0.015,72.1,90.2,0.4,26.0,5.3,5.1,45.0,80.00072636,94.62055766,61.2,14.4,27.2,45.0,4.4,137,3.25,2.91
5,patrick corbin,SP,2024,34,764,697,208,134,42,7,25,139,54,18.2,7.1,0.298,0.486,0.348,0.834,0.295,0.473,0.357,0.357,0.347,0.178,0.412,0.412,0.003,0.013,0.0,72.2,90.8,10.0,37.3,8.3,7.7,46.7,79.87784313,95.30570991,69.1,12.6,22.4,48.2,-0.9,73,4.41,5.62
6,nestor cortes,SP,2024,29,710,661,162,94,44,0,24,162,39,22.8,5.5,0.245,0.421,0.29,0.711,0.235,0.396,0.307,0.295,0.281,0.161,0.372,0.356,0.01,0.025,0.012,71.9,89.7,22.4,35.0,7.9,7.9,43.6,79.12267623,94.47087918,72.9,20.1,24.2,50.4,2.6,107,3.84,3.77
7,michael king,SP,2024,29,726,653,144,98,27,2,17,201,63,27.7,8.7,0.221,0.346,0.296,0.642,0.226,0.359,0.284,0.293,0.301,0.134,0.349,0.364,-0.005,-0.013,-0.009,71.5,85.7,13.8,35.2,6.2,5.1,30.3,73.98135973,92.67165699,60.8,20.9,29.3,45.4,4.1,140,3.33,2.95
8,freddy peralta,SP,2024,28,725,639,143,92,24,1,26,200,68,27.6,9.4,0.224,0.387,0.307,0.694,0.224,0.377,0.305,0.304,0.308,0.153,0.375,0.374,0.0,0.01,0.001,71.1,87.6,17.3,35.3,8.7,7.6,36.9,75.95026724,93.64080975,70.4,22.7,31.1,46.9,2.5,112,4.16,3.68
9,shota imanaga,SP,2024,30,694,662,149,98,23,1,27,174,28,25.1,4.0,0.225,0.385,0.259,0.644,0.234,0.39,0.279,0.286,0.268,0.156,0.352,0.362,-0.009,-0.005,-0.007,71.9,88.6,17.8,36.0,8.6,5.7,39.3,77.58623086,93.93142473,75.3,20.0,28.3,55.7,3.0,136,3.72,2.91
