,Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
0,martin maldonado,C,455117.0,2025.0,38.0,147.0,161.0,30.0,20.0,6.0,0.0,4.0,57.0,8.0,35.4,5.0,0.204,0.327,0.245,0.572,12.0,53.0,0.0,0.0,0.2,0.366,0.251,0.263,0.242,0.165,0.371,0.392,0.004,-0.039,-0.012,71.2,86.0,16.1,30.2,9.4,3.1,28.1,97.99074955,93.00243034,56.5,27.7,38.4,45.3,0.0,23.1
1,joey gallo,1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,dominic smith,1B,642086.0,2025.0,30.0,149.0,166.0,42.0,30.0,9.0,0.0,3.0,30.0,13.0,18.1,7.8,0.282,0.403,0.343,0.746,23.0,55.0,0.0,2.0,0.256,0.393,0.328,0.313,0.322,0.137,0.363,0.344,0.026,0.01,0.015,67.9,87.5,16.1,40.5,4.1,8.3,33.1,97.79769098,93.01650405,66.2,12.9,21.9,48.5,0.0,25.3
3,orlando arcia,SS,606115.0,2025.0,30.0,158.0,165.0,30.0,23.0,3.0,1.0,3.0,36.0,7.0,21.8,4.2,0.19,0.278,0.224,0.502,9.0,70.0,0.0,0.0,0.21,0.298,0.222,0.239,0.244,0.088,0.261,0.284,-0.02,-0.02,-0.017,70.1,86.1,6.8,26.2,2.5,4.1,30.3,97.3010795,92.65295358,71.3,16.1,23.4,53.7,0.0,25.3
4,chris taylor,3B,621035.0,2025.0,34.0,72.0,77.0,14.0,7.0,6.0,0.0,1.0,28.0,1.0,36.4,1.3,0.194,0.319,0.247,0.566,6.0,33.0,1.0,1.0,0.198,0.323,0.251,0.254,0.25,0.125,0.358,0.363,-0.004,-0.004,-0.003,70.0,83.4,21.0,43.2,6.8,6.8,29.5,95.86699182,92.09242837,71.7,31.6,39.4,52.0,0.0,27.6
5,tomás nido,C,621512.0,2025.0,31.0,35.0,37.0,12.0,12.0,0.0,0.0,0.0,10.0,0.0,27.0,0.0,0.343,0.343,0.361,0.704,2.0,15.0,0.0,0.0,0.264,0.331,0.315,0.27,0.285,0.067,0.424,0.36,0.079,0.012,0.045,69.0,86.4,10.4,38.5,0.0,3.8,34.6,97.70540231,93.0468092,81.4,16.7,25.7,58.8,0.0,25.1
6,ildemaro vargas,2B,545121.0,2025.0,33.0,30.0,31.0,8.0,5.0,2.0,0.0,1.0,7.0,0.0,22.6,0.0,0.267,0.433,0.29,0.723,4.0,18.0,0.0,0.0,0.249,0.391,0.313,0.287,0.273,0.142,0.39,0.356,0.018,0.042,0.026,70.2,90.6,11.1,30.4,4.3,0.0,43.5,99.79210182,94.55307409,70.6,22.2,28.3,58.8,0.0,27.5
7,james mccann,C,543510.0,2025.0,35.0,74.0,86.0,18.0,13.0,2.0,0.0,3.0,21.0,8.0,24.4,9.3,0.243,0.392,0.337,0.729,9.0,25.0,0.0,0.0,0.232,0.37,0.324,0.314,0.331,0.138,0.373,0.358,0.011,0.022,0.01,71.6,92.4,4.2,27.8,5.6,5.6,51.9,102.2623633,95.60990537,68.9,19.8,30.8,48.5,0.0,26.4
8,paul dejong,3B,657557.0,2025.0,31.0,130.0,141.0,33.0,20.0,7.0,0.0,6.0,41.0,9.0,29.1,6.4,0.254,0.446,0.305,0.751,19.0,54.0,0.0,4.0,0.219,0.4,0.324,0.293,0.274,0.181,0.43,0.382,0.035,0.046,0.031,72.1,89.7,24.4,36.7,10.0,10.0,43.3,100.2886831,94.36000933,76.9,19.9,30.1,56.4,0.0,26.4
9,ty france,1B,664034.0,2025.0,30.0,393.0,434.0,102.0,72.0,24.0,0.0,6.0,71.0,20.0,16.4,4.6,0.26,0.366,0.327,0.693,46.0,157.0,0.0,1.0,0.27,0.445,0.309,0.342,0.338,0.175,0.328,0.372,-0.01,-0.079,-0.033,70.9,89.5,10.9,35.9,8.0,7.1,43.0,100.5469585,94.6170087,74.1,11.2,21.1,51.9,0.0,25.0
