,Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA
0,framber valdez,SP,664285.0,2024.0,30.0,703.0,634.0,140.0,102.0,24.0,1.0,13.0,169.0,55.0,24.0,7.8,0.221,0.323,0.287,0.61,0.233,0.34,0.272,0.287,0.301,0.106,0.315,0.337,-0.012,-0.017,-0.015,72.1,90.2,0.4,26.0,5.3,5.1,45.0,80.00072636,94.62055766,61.2,14.4,27.2,45.0,4.0,122.0,3.19,3.42
1,merrill kelly,SP,518876.0,2024.0,35.0,300.0,277.0,67.0,39.0,16.0,1.0,11.0,63.0,19.0,21.0,6.3,0.242,0.426,0.294,0.72,0.263,0.47,0.311,0.34,0.314,0.207,0.366,0.405,-0.021,-0.044,-0.029,72.7,90.5,11.0,33.5,10.7,6.0,40.9,80.35668857,94.67706633,68.1,12.9,21.3,48.2,3.7,134.0,3.77,3.16
2,zac gallen,SP,668678.0,2024.0,28.0,621.0,561.0,133.0,86.0,29.0,5.0,13.0,156.0,54.0,25.1,8.7,0.237,0.376,0.308,0.684,0.246,0.379,0.301,0.308,0.316,0.134,0.361,0.371,-0.009,-0.003,-0.007,71.8,90.0,11.8,34.9,7.4,7.6,41.0,79.81895601,94.40298237,63.8,14.0,26.0,44.2,1.4,92.0,4.41,4.77
3,zack littell,RP,641793.0,2024.0,28.0,656.0,618.0,164.0,111.0,29.0,2.0,22.0,141.0,31.0,21.5,4.7,0.265,0.426,0.306,0.732,0.263,0.436,0.317,0.321,0.303,0.173,0.383,0.388,0.002,-0.01,-0.004,72.0,89.3,18.1,36.2,9.6,6.3,39.2,78.59029555,94.13734457,70.6,14.5,23.1,51.9,2.7,112.0,5.01,3.81
4,chris bassitt,SP,605135.0,2024.0,35.0,758.0,667.0,180.0,132.0,29.0,1.0,18.0,168.0,70.0,22.2,9.2,0.27,0.397,0.352,0.749,0.256,0.399,0.331,0.327,0.34,0.143,0.381,0.375,0.014,-0.002,0.004,71.2,87.8,14.3,36.3,7.5,4.0,37.1,75.64419492,94.07781649,65.4,17.0,21.7,45.0,2.3,109.0,4.1,3.97
5,freddy peralta,SP,642547.0,2024.0,28.0,725.0,639.0,143.0,92.0,24.0,1.0,26.0,200.0,68.0,27.6,9.4,0.224,0.387,0.307,0.694,0.224,0.377,0.305,0.304,0.308,0.153,0.375,0.374,0.0,0.01,0.001,71.1,87.6,17.3,35.3,8.7,7.6,36.9,75.95026724,93.64080975,70.4,22.7,31.1,46.9,5.4,168.0,3.56,2.5
6,nick martinez,SP,607259.0,2024.0,33.0,570.0,539.0,128.0,81.0,32.0,2.0,13.0,116.0,18.0,20.4,3.2,0.237,0.377,0.267,0.644,0.242,0.365,0.279,0.278,0.272,0.123,0.332,0.331,-0.005,0.012,0.001,71.4,86.4,17.0,34.0,5.1,4.0,30.5,74.85049693,92.97895951,67.4,16.2,23.1,51.1,1.9,99.0,4.43,4.66
7,dylan cease,SP,656302.0,2024.0,28.0,762.0,684.0,137.0,84.0,34.0,1.0,18.0,224.0,65.0,29.4,8.5,0.2,0.332,0.269,0.601,0.21,0.358,0.266,0.283,0.28,0.148,0.333,0.361,-0.01,-0.026,-0.017,71.3,89.0,14.1,32.4,8.5,7.2,38.6,78.28270224,94.08470927,68.5,22.1,32.4,48.2,0.9,92.0,3.63,4.71
8,jack flaherty,SP,656427.0,2024.0,28.0,649.0,605.0,135.0,88.0,18.0,5.0,24.0,194.0,38.0,29.9,5.9,0.223,0.388,0.273,0.661,0.233,0.38,0.288,0.292,0.284,0.147,0.382,0.391,-0.01,0.008,-0.004,71.4,88.4,14.0,36.1,7.7,4.8,35.9,77.44586236,93.77647899,65.0,21.1,32.1,46.2,0.5,87.0,3.97,4.85
9,tomoyuki sugano,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
