Name,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
 Tyler Rogers,643511,2023,32,309,280,66,44,14,1,7,60,19,19.4,6.1,0.236,0.368,0.289,0.657,0.219,0.306,0.284,0.257,0.275,0.087,0.324,0.287,0.017,0.062,0.027,70.9,84.4,8.7,26.2,2.2,5.3,27.6,71.87197189,92.51610213,70.1,19.5,22.4,51.2
 Alec Mills,621219,2023,31,10,8,4,2,0,1,1,0,1,0,10,0.5,1.125,0.6,1.725,0.294,0.648,0.676,0.453,0.436,0.354,0.667,0.389,0.206,0.477,0.223,,92.3,8,12.5,12.5,0,50,84.2695225,95.0261375,64.7,9.1,22.2,45
 Kyle Muller,666205,2023,25,372,324,112,73,22,1,16,56,39,15.1,10.5,0.346,0.568,0.416,0.984,0.315,0.546,0.417,0.402,0.392,0.231,0.461,0.439,0.031,0.022,0.015,71.9,92.1,12.8,35.4,10.9,8.4,49.6,81.51448287,95.88538107,71.3,13.5,21.2,48.4
 Joe Mantiply,573009,2023,32,157,148,35,20,9,2,4,28,9,17.8,5.7,0.236,0.405,0.28,0.685,0.248,0.425,0.292,0.306,0.292,0.176,0.333,0.351,-0.012,-0.02,-0.014,72.3,87.7,7.1,28.3,9.2,5,35.8,76.51284483,93.59129151,65,18.7,23.2,49.7
 Colin Holderman,670059,2023,27,240,215,55,40,11,0,4,58,20,24.2,8.3,0.256,0.363,0.322,0.685,0.234,0.364,0.299,0.294,0.305,0.13,0.358,0.35,0.022,-0.001,0.005,71.2,89.1,6.4,28.1,5,5,43.1,77.63394275,94.45329019,69.4,15.3,23.2,47.7
 Carl Edwards Jr.,605218,2023,31,142,124,31,21,8,1,1,24,17,16.9,12,0.25,0.355,0.345,0.7,0.263,0.355,0.309,0.316,0.357,0.091,0.321,0.331,-0.013,0,-0.007,,86.3,10.1,33,4,2,29,76.0653006,92.2617121,68.4,16,21.6,47.4
 Andrew Kittredge,552640,2023,33,50,47,12,8,3,0,1,10,2,20,4,0.255,0.383,0.3,0.683,0.267,0.388,0.298,0.305,0.311,0.121,0.346,0.355,-0.012,-0.005,-0.007,71.1,86.8,10.7,43.2,2.7,2.7,35.1,77.17674368,92.38204946,70.6,12.5,18.7,57.5
 Dylan Floro,571670,2023,32,248,227,70,54,12,1,3,58,17,23.4,6.9,0.308,0.41,0.363,0.773,0.254,0.335,0.335,0.284,0.313,0.081,0.413,0.339,0.054,0.075,0.051,70.7,87.1,5.2,32.4,2.9,5.9,37.1,75.57876271,93.37742752,63.4,18.2,24,46
 Brandon Woodruff,605540,2023,30,253,233,40,23,8,0,9,74,15,29.2,5.9,0.172,0.322,0.229,0.551,0.207,0.326,0.241,0.26,0.263,0.119,0.3,0.331,-0.035,-0.004,-0.019,71,89,18.3,32.9,6.8,5.6,41.6,77.74225152,94.3454388,67,22,28.3,50.1
 Andres Munoz,662253,2023,24,211,184,40,28,10,0,2,67,22,31.8,10.4,0.217,0.304,0.318,0.622,0.204,0.286,0.279,0.267,0.306,0.082,0.352,0.331,0.013,0.018,0.012,71.5,88.4,1.8,29.9,5.1,7.7,35.9,76.95025627,94.02528786,64.5,29.3,39.4,48
 Spencer Howard,675921,2023,26,18,14,4,3,0,0,1,2,3,11.1,16.7,0.286,0.5,0.444,0.944,0.18,0.393,0.415,0.343,0.363,0.212,0.388,0.28,0.106,0.107,0.072,71.5,87.7,17.3,8.3,8.3,8.3,33.3,78.03305667,92.71685083,58.8,30,36.7,37.5
 Gabe Speier,642100,2023,28,216,200,47,33,7,0,7,64,11,29.6,5.1,0.235,0.375,0.282,0.657,0.244,0.392,0.278,0.29,0.292,0.149,0.376,0.395,-0.009,-0.017,-0.012,71.4,88.5,6.9,30.4,8.7,2.9,42,76.44684588,94.68923667,67.4,18.4,30.8,52.8
 Isaiah Campbell,663462,2023,25,120,105,22,16,3,1,2,33,13,27.5,10.8,0.21,0.314,0.3,0.614,0.227,0.38,0.273,0.304,0.316,0.154,0.321,0.371,-0.017,-0.066,-0.031,70.9,88.3,14.8,34.2,9.6,6.8,41.1,77.2329346,93.96886548,68.2,17.8,28.6,46.9
 Ryan Borucki,621366,2023,29,152,142,26,15,7,0,4,33,4,21.7,2.6,0.183,0.317,0.227,0.544,0.236,0.372,0.238,0.283,0.277,0.136,0.275,0.338,-0.053,-0.055,-0.045,71.3,85.7,11.1,25.2,6.3,5.4,29.7,74.24539546,92.6585744,66,21.9,28.1,52.7
 Phil Bickford,641360,2023,27,304,257,59,35,14,2,8,76,39,25,12.8,0.23,0.393,0.339,0.732,0.241,0.425,0.319,0.335,0.349,0.184,0.371,0.397,-0.011,-0.032,-0.016,71.4,90.9,22.3,34.6,10.3,6.5,42.2,80.95653101,94.8712732,72.1,22,29.7,48.8
 Jhoan Duran,661395,2023,25,255,222,46,32,8,0,6,84,25,32.9,9.8,0.207,0.324,0.298,0.622,0.185,0.289,0.271,0.251,0.279,0.104,0.361,0.324,0.022,0.035,0.02,69.9,89.2,-3.7,21.1,7,3.5,38,77.74989913,94.47050942,72.8,26,35.4,51.4
 Matt Bush,456713,2023,37,48,42,11,3,3,0,5,10,6,20.8,12.5,0.262,0.69,0.354,1.044,0.342,0.688,0.429,0.465,0.424,0.347,0.512,0.567,-0.08,0.002,-0.036,,89.5,15.9,46.9,18.8,3.1,40.6,77.20384563,95.12441031,64.8,20.3,30.2,44.3
 Jordan Hicks,663855,2023,26,285,247,57,41,11,1,4,81,32,28.4,11.2,0.231,0.332,0.326,0.658,0.209,0.308,0.296,0.282,0.311,0.099,0.354,0.331,0.022,0.024,0.014,71,86.7,-0.1,27.4,5.4,4.8,35.9,73.76585675,93.86038416,55.2,18.3,28.2,41.4
 Michael Wacha,608379,2023,31,553,505,113,65,32,1,15,124,43,22.4,7.8,0.224,0.38,0.288,0.668,0.25,0.421,0.291,0.318,0.312,0.171,0.336,0.376,-0.026,-0.041,-0.027,71.1,88.1,18.5,38.6,7.3,8.1,35.5,77.38429581,93.5172127,65.9,17.1,24.6,47.9
 Patrick Sandoval,663776,2023,26,652,567,145,103,29,1,12,128,74,19.6,11.3,0.256,0.374,0.344,0.718,0.26,0.402,0.318,0.332,0.351,0.142,0.345,0.366,-0.004,-0.028,-0.014,71.5,87.6,9.4,38,7,5.6,35.1,76.33447694,93.45607915,65.8,18.7,27.7,46.6
 Denyi Reyes,660593,2023,26,90,81,25,18,3,1,3,17,8,18.9,8.9,0.309,0.481,0.378,0.859,0.286,0.435,0.372,0.348,0.358,0.149,0.425,0.392,0.023,0.046,0.024,72.7,86.1,12.3,40.6,7.8,6.3,34.4,73.9958475,93.2025081,74.2,20.5,23.4,52.7
 Sandy Alcantara,645261,2023,27,762,700,176,123,30,1,22,151,48,19.8,6.3,0.251,0.391,0.302,0.693,0.265,0.417,0.301,0.32,0.317,0.152,0.345,0.371,-0.014,-0.026,-0.019,71.7,88.8,7,31.4,7,6.6,40.6,77.34873688,94.27589467,72.1,19.1,25.4,54.2
 Rico Garcia,670329,2023,29,60,53,19,10,4,0,5,10,6,16.7,10,0.358,0.717,0.417,1.134,0.333,0.636,0.467,0.43,0.394,0.303,0.541,0.491,0.025,0.081,0.037,72.9,90.6,18.8,38.6,9.1,15.9,36.4,80.04069909,94.78541568,71.2,20.2,24.6,45.7
 Jason Adam,592094,2023,31,222,193,35,19,8,1,7,69,20,31.1,9,0.181,0.342,0.288,0.63,0.217,0.403,0.283,0.32,0.319,0.186,0.341,0.407,-0.036,-0.061,-0.037,70.7,87.2,14.4,30.6,12.1,7.3,39.5,74.79804323,93.94912163,64.1,30,34.4,45.9
 Bobby Miller,676272,2023,24,505,464,105,68,22,3,12,119,32,23.6,6.3,0.226,0.364,0.283,0.647,0.229,0.355,0.283,0.286,0.29,0.126,0.334,0.339,-0.003,0.009,-0.003,71.2,88.3,10.3,33.3,6,6,37.6,77.30412302,93.81218006,67.8,19.7,26.8,48.2
 David Robertson,502085,2023,38,269,240,53,36,9,1,7,78,25,29,9.3,0.221,0.354,0.302,0.656,0.206,0.349,0.289,0.28,0.289,0.143,0.361,0.348,0.015,0.005,0.009,72,89.3,15.2,30.1,6.1,8,37.4,78.88345713,93.98846363,62.2,22.3,31.2,45
 Colin Rea,607067,2023,32,517,468,110,66,18,3,23,110,38,21.3,7.4,0.235,0.434,0.296,0.73,0.253,0.432,0.313,0.323,0.313,0.179,0.363,0.378,-0.018,0.002,-0.01,71.7,90.4,13,34.5,7.7,5.8,43.3,79.91455422,94.82878625,67.8,16.7,24,47.9
 Yerry Rodríguez,666720,2023,25,66,59,20,12,7,0,1,15,6,22.7,9.1,0.339,0.508,0.394,0.902,0.268,0.389,0.381,0.312,0.332,0.122,0.473,0.373,0.071,0.119,0.069,70.6,92.1,16.3,46.7,4.4,6.7,44.4,83.25823044,94.928296,72.8,19.6,27,50.7
 Juan Then,672730,2023,23,48,46,14,9,2,0,3,5,2,10.4,4.2,0.304,0.543,0.333,0.876,0.292,0.452,0.372,0.332,0.321,0.161,0.401,0.355,0.012,0.091,0.04,,91.4,-1.8,24.4,4.9,9.8,43.9,83.55948429,94.36375366,63.5,14.8,20.3,41.3
 Tyler Anderson,542881,2023,33,629,549,146,84,40,2,20,119,64,18.9,10.2,0.266,0.455,0.346,0.801,0.259,0.434,0.345,0.34,0.343,0.175,0.382,0.376,0.007,0.021,0.005,71.9,87,19.1,37.6,8.2,6.8,32.3,75.81805433,93.08464977,72.1,21.1,27.8,49.7
 Pete Fairbanks,664126,2023,29,184,159,26,21,2,0,3,68,20,37,10.9,0.164,0.233,0.273,0.506,0.175,0.257,0.24,0.252,0.283,0.082,0.297,0.322,-0.011,-0.024,-0.012,71.4,85.7,10.4,27.2,3.3,4.3,35.9,71.98379244,93.76037389,61.8,25,30.7,46.6
