Name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
 Austin Wynns,642851,2024,33,19,20,7,3,4,0,0,5,0,25,0,0.368,0.579,0.4,0.979,2,6,0,0,0.289,0.367,0.419,0.307,0.325,0.078,0.547,0.388,0.079,0.212,0.112,69.5,91.5,15.8,50,0,14.3,35.7,99.98801,93.994005,61.9,15.4,25.6,52,,25.2
 Taylor Ward,621493,2024,30,585,663,144,91,26,2,25,163,63,24.6,9.5,0.246,0.426,0.323,0.749,75,208,4,6,0.251,0.458,0.325,0.344,0.331,0.207,0.389,0.419,-0.005,-0.032,-0.019,69.8,90.9,17.4,41.9,13,6.7,42.4,100.0177516,94.46458564,64.8,17.7,25.5,43.2,4,26.8
 Cole Tucker,657061,2024,27,50,57,9,4,4,1,0,17,6,29.8,10.5,0.18,0.3,0.263,0.563,3,17,1,3,0.197,0.269,0.25,0.256,0.284,0.071,0.298,0.308,-0.017,0.031,-0.006,65.6,90.2,7.7,35.3,0,11.8,44.1,98.34589294,93.60558618,65,17.1,27.2,43.5,,28
 James Wood,695578,2024,21,295,336,78,52,13,4,9,97,39,28.9,11.6,0.264,0.427,0.354,0.781,41,122,8,14,0.265,0.435,0.342,0.348,0.355,0.169,0.439,0.45,-0.001,-0.008,-0.006,73.9,92.8,2.4,31.3,10.6,6.1,52,104.6770133,97.02844878,55.3,20,29.6,38.2,-5,28.7
 Liover Peguero,678894,2024,23,10,10,2,1,1,0,0,3,0,30,0,0.2,0.3,0.2,0.5,2,3,0,0,0.271,0.346,0.214,0.268,0.271,0.075,0.305,0.382,-0.071,-0.046,-0.054,69.4,84.4,6,42.9,0,14.3,28.6,92.7549225,91.91511714,68.2,20,40,54.3,,
 Austin Hedges,595978,2024,31,132,146,20,15,3,0,2,50,6,34.2,4.1,0.152,0.22,0.203,0.423,15,66,0,2,0.127,0.179,0.191,0.166,0.18,0.052,0.251,0.208,0.025,0.041,0.025,69.8,84.8,21.4,24.1,1.1,5.7,24.1,94.67825512,91.40061728,76,23.6,32.9,54.5,,25.3
 Eric Wagaman,676572,2024,26,72,74,18,11,5,0,2,17,2,23,2.7,0.25,0.403,0.27,0.673,10,32,0,0,0.267,0.412,0.29,0.302,0.287,0.146,0.365,0.383,-0.017,-0.009,-0.012,71.1,91.7,8.3,38.2,5.5,12.7,40,101.3183515,95.37556222,73,10,20.9,51.7,,27.1
 Daniel Vogelbach,596129,2024,31,70,79,13,7,5,0,1,17,9,21.5,11.4,0.186,0.3,0.278,0.578,8,38,0,0,0.273,0.466,0.262,0.36,0.358,0.193,0.273,0.422,-0.087,-0.166,-0.098,72.5,90.9,8.1,35.8,9.4,5.7,45.1,101.4818269,95.23858157,42.4,8.2,15.7,29.8,,23.9
 Nick Gordon,624503,2024,28,260,275,59,39,11,1,8,67,11,24.4,4,0.227,0.369,0.258,0.627,32,107,5,5,0.218,0.351,0.271,0.263,0.252,0.133,0.338,0.327,0.009,0.018,0.008,68.2,86.1,6.5,34.7,6.1,3.1,29.6,96.56786773,92.32177593,78.6,23.1,32,59.8,-2,27.6
 Zach Dezenzo,701305,2024,24,62,65,15,11,2,0,2,22,3,33.8,4.6,0.242,0.371,0.277,0.648,8,31,0,0,0.223,0.435,0.283,0.298,0.259,0.212,0.408,0.432,0.019,-0.064,-0.015,75.4,87.5,10.5,30,10,7.5,40,101.2727945,94.7258265,67.7,27.9,31.7,51.4,,28.3
