Name,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,p_era,p_swinging_strike,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,arm_angle
 Manuel Rodríguez,655889,2025,28,121,112,26,21,3,0,2,25,6,20.7,5,0.232,0.313,0.275,0.588,0.279,2.08,45,0.253,0.338,0.261,0.281,0.295,0.086,0.3,0.328,-0.021,-0.025,-0.02,72.3,87.4,1.3,28.1,3.4,3.4,41.6,74.58374727,94.3529123,65.9,15.6,25.9,50.1,47.4
 Ryan Thompson,657044,2025,33,140,127,36,25,7,0,4,30,12,21.4,8.6,0.283,0.433,0.35,0.783,0.344,4.45,55,0.246,0.419,0.338,0.315,0.316,0.173,0.402,0.369,0.037,0.014,0.023,71.7,90.8,8.3,33,10.3,3.1,42.3,79.11877286,95.61177546,60.9,13.5,24.9,47.6,-8.3
 Daniel Lynch IV,663738,2025,28,226,197,52,38,8,0,6,32,22,14.2,9.7,0.264,0.396,0.348,0.744,0.287,2.77,67,0.267,0.437,0.329,0.343,0.351,0.171,0.337,0.356,-0.003,-0.041,-0.014,71.6,88.4,11.5,29.8,8.9,3.6,42.9,76.62224463,94.39417476,58.4,13.6,21.6,43.1,36.2
 Dedniel Núñez,673380,2025,29,41,35,6,2,3,0,1,11,6,26.8,14.6,0.171,0.343,0.293,0.636,0.217,4.66,23,0.239,0.481,0.286,0.359,0.35,0.242,0.315,0.44,-0.068,-0.138,-0.073,72.8,91.5,26.8,41.7,12.5,20.8,45.8,81.42792667,95.70258125,72.2,24.3,31.5,50.3,39.2
 Taylor Rogers,573124,2025,34,171,145,34,21,8,1,4,43,20,25.1,11.7,0.234,0.386,0.329,0.715,0.297,2.29,73,0.229,0.387,0.311,0.312,0.327,0.158,0.365,0.367,0.005,-0.001,-0.001,71.1,88.7,13.1,34.9,9.4,7.5,38.7,77.28871481,94.20721874,60.4,14.8,23.7,43.9,29.4
 Jack Leiter,683004,2025,25,474,412,93,62,17,0,14,101,57,21.3,12,0.226,0.369,0.325,0.694,0.265,4.06,200,0.254,0.462,0.31,0.353,0.35,0.208,0.336,0.401,-0.028,-0.093,-0.043,72.5,90.8,17.9,34.6,11.9,6.4,44.2,80.51301135,94.90744174,68.5,16.7,24.8,47.2,45.7
 Brendon Little,663893,2025,28,237,198,38,27,8,1,2,77,37,32.5,15.6,0.192,0.273,0.322,0.595,0.303,3,143,0.193,0.294,0.272,0.279,0.323,0.1,0.327,0.341,-0.001,-0.021,-0.007,72.8,90,2.7,31.1,6.6,8.2,46.7,78.71449508,95.14015446,58.1,19.3,45.2,41.1,33.2
 Walker Buehler,621111,2025,30,497,432,118,81,15,1,21,82,53,16.5,10.7,0.273,0.458,0.363,0.821,0.293,5.4,142,0.285,0.479,0.359,0.371,0.374,0.194,0.383,0.401,-0.012,-0.021,-0.012,72.3,88.3,10.1,35.5,9.7,6.5,39.8,76.41870731,94.30195301,65,12.5,19.2,44.2,42.5
 Zac Gallen,668678,2025,29,644,584,148,88,31,3,26,134,52,20.8,8.1,0.253,0.45,0.318,0.768,0.286,5.28,201,0.265,0.475,0.332,0.346,0.329,0.21,0.386,0.406,-0.012,-0.025,-0.014,72.1,90.6,13,35.5,10.1,7.9,43.8,80.00565311,94.95405067,63.5,11.5,24,45.2,42
 Travis Adams,701519,2025,25,111,92,30,16,8,1,5,21,12,18.9,10.8,0.326,0.598,0.396,0.994,0.352,7.71,49,0.306,0.566,0.412,0.423,0.397,0.26,0.473,0.49,0.02,0.032,-0.011,72.2,90.4,20,44.7,15.8,7.9,47.4,79.7920179,95.1509128,70.9,18.6,24.3,46.6,40
