Name,Position
martin maldonado,C
joey gallo,1B
dominic smith,1B
orlando arcia,SS
chris taylor,3B
tomas nido,C
ildemaro vargas,2B
james mccann,C
paul dejong,3B
ty france,1B
luis urias,3B
mark canha,1B
austin slater,LF
michael a. taylor,CF
jacob stallings,C
brendan rodgers,2B
amed rosario,SS
rob refsnyder,RF
dylan moore,2B
jose iglesias,3B
gary sanchez,DH
miguel andujar,3B
donovan solano,2B
ryan o'hearn,DH
austin hedges,C
tommy pham,RF
adam frazier,2B
andrew mccutchen,DH
trent grisham,CF
wilmer flores,1B
miguel rojas,SS
max stassi,C
josh bell,DH
victor caratini,C
willi castro,SS
eloy jimenez,DH
jesse winker,LF
isiah kiner-falefa,2B
lane thomas,RF
cedric mullins,CF
luis rengifo,SS
mike yastrzemski,CF
eugenio suarez,3B
max kepler,RF
christian vazquez,C
bo bichette,SS
carlos santana,1B
paul goldschmidt,1B
yoan moncada,3B
luis arraez,2B
josh naylor,1B
gleyber torres,2B
marcell ozuna,DH
kyle tucker,RF
michael conforto,LF
starling marte,RF
kyle schwarber,LF
j.t. realmuto,C
cody bellinger,CF
pete alonso,1B
joc pederson,DH
ha-seong kim,SS
lourdes gurriel jr.,OF
trevor story,SS
alex bregman,3B
tyler o'neill,LF
elias diaz,C
thairo estrada,2B
randal grichuk,RF
kyle farmer,SS
rhys hoskins,DH
austin hays,LF
danny jansen,C
mitch garver,C
justin turner,3B
harrison bader,CF
jarren duran,CF
ozzie albies,2B
ramon laureano,RF
jorge mateo,SS
tom murphy,C
luis robert jr.,CF
taylor walls,SS
salvador perez,C
william contreras,C
brandon lowe,2B
max muncy,1B
max muncy,1B
tyler wade,SS
