Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Logan Gilbert,27,SEA,AL,2.8,9,12,0.429,3.23,33,33,0,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,115,3.27,0.887,6.4,1.1,1.6,9.5,5.95,"AS,CYA-6"
2,Seth Lugo,34,KCR,AL,5.4,16,9,0.64,3,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,135,3.25,1.089,7.7,0.7,2.1,7.9,3.77,"AS,CYA-2,MVP-15,GG"
3,Logan Webb,27,SFG,NL,3.6,13,10,0.565,3.47,33,33,0,1,1,0,204.2,202,83,79,11,50,3,172,2,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44,"AS,CYA-6"
4,Zack Wheeler,34,PHI,NL,6.1,16,7,0.696,2.57,32,32,0,0,0,0,200,139,62,57,20,52,0,224,8,0,8,787,165,3.13,0.955,6.3,0.9,2.3,10.1,4.31,"AS,CYA-2,MVP-12"
5,Aaron Nola,31,PHI,NL,3.7,14,8,0.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,119,3.94,1.199,8.5,1.4,2.3,8.9,3.94,CYA-11
6,Corbin Burnes,29,BAL,AL,3.5,15,9,0.625,2.92,32,32,0,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,133,3.55,1.096,7.6,1,2.2,8.4,3.77,"AS,CYA-5"
7,José Berríos,30,TOR,AL,2.3,16,11,0.593,3.6,32,32,0,1,0,0,192.1,168,79,77,31,54,1,153,13,0,1,786,114,4.72,1.154,7.9,1.5,2.5,7.2,2.83,
8,Tarik Skubal*,27,DET,AL,6.4,18,4,0.818,2.39,31,31,0,0,0,0,192,142,54,51,15,35,0,228,9,0,2,753,174,2.49,0.922,6.7,0.7,1.6,10.7,6.51,"AS,CYA-1,MVP-7"
9,George Kirby,26,SEA,AL,2,14,11,0.56,3.53,33,33,0,0,0,0,191,181,82,75,22,23,0,179,7,1,5,778,105,3.26,1.068,8.5,1,1.1,8.4,7.78,
10,Dylan Cease,28,SDP,NL,4.1,14,11,0.56,3.47,33,33,0,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,119,3.1,1.067,6.5,0.9,3.1,10.6,3.45,"CYA-4,MVP-22"
11,Jake Irvin,27,WSN,NL,1.9,10,14,0.417,4.41,33,33,0,0,0,0,187.2,173,97,92,29,52,1,156,4,1,5,769,93,4.41,1.199,8.3,1.4,2.5,7.5,3,
12,Cole Ragans*,26,KCR,AL,5,11,9,0.55,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,130,2.99,1.143,7.1,0.7,3.2,10.8,3.33,"AS,CYA-4"
13,Pablo López,28,MIN,AL,2.5,15,10,0.6,4.08,32,32,0,0,0,0,185.1,180,90,84,26,41,0,198,8,0,3,772,102,3.65,1.192,8.7,1.3,2,9.6,4.83,
14,Kutter Crawford,28,BOS,AL,1.9,9,16,0.36,4.36,33,33,0,0,0,0,183.2,155,97,89,34,51,0,175,9,0,4,759,95,4.65,1.122,7.6,1.7,2.5,8.6,3.43,
15,Luis Severino,30,NYM,NL,1.7,11,7,0.611,3.91,31,31,0,1,1,0,182,166,86,79,23,60,0,161,11,2,6,761,101,4.21,1.242,8.2,1.1,3,8,2.68,
16,Sean Manaea*,32,NYM,NL,3,12,6,0.667,3.47,32,32,0,0,0,0,181.2,134,75,70,21,63,0,184,9,0,4,738,114,3.83,1.084,6.6,1,3.1,9.1,2.92,CYA-11
17,Brandon Pfaadt,25,ARI,NL,0.4,11,10,0.524,4.71,32,32,0,0,0,0,181.2,183,103,95,24,42,1,185,4,0,1,760,90,3.61,1.239,9.1,1.2,2.1,9.2,4.4,
18,Cristopher Sánchez*,27,PHI,NL,3.4,11,9,0.55,3.32,31,31,0,2,1,0,181.2,182,76,67,11,44,0,153,0,1,7,754,127,3,1.244,9,0.5,2.2,7.6,3.48,"AS,CYA-10"
19,Kevin Gausman,33,TOR,AL,0.9,14,11,0.56,3.83,31,31,0,2,1,0,181,165,86,77,20,56,0,162,2,2,3,756,107,3.77,1.221,8.2,1,2.8,8.1,2.89,
20,JP Sears*,28,OAK,AL,2.2,11,13,0.458,4.38,32,32,0,0,0,0,180.2,172,93,88,28,49,0,137,14,1,0,758,90,4.71,1.223,8.6,1.4,2.4,6.8,2.8,
21,Bryce Miller,25,SEA,AL,3.4,12,8,0.6,2.94,31,31,0,0,0,0,180.1,131,62,59,21,45,1,171,3,0,2,704,126,3.58,0.976,6.5,1,2.2,8.5,3.8,
22,Brady Singer,27,KCR,AL,3.1,9,13,0.409,3.71,32,32,0,0,0,0,179.2,175,77,74,22,54,0,170,10,0,2,762,110,3.93,1.275,8.8,1.1,2.7,8.5,3.15,
23,Tyler Anderson*,34,LAA,AL,3,10,15,0.4,3.81,31,31,0,0,0,0,179.1,158,83,76,24,73,2,142,7,1,3,765,109,4.66,1.288,7.9,1.2,3.7,7.1,1.95,AS
24,Tanner Houck,28,BOS,AL,3.5,9,10,0.474,3.12,30,30,0,1,1,0,178.2,156,75,62,11,48,1,154,16,0,2,743,133,3.32,1.142,7.9,0.6,2.4,7.8,3.21,AS
25,Bailey Ober,28,MIN,AL,2.9,12,9,0.571,3.98,31,31,0,1,0,0,178.2,136,81,79,27,43,0,191,6,0,1,709,104,3.82,1.002,6.9,1.4,2.2,9.6,4.44,
26,Mitch Keller,28,PIT,NL,2,11,12,0.478,4.25,31,31,0,1,0,0,178,182,90,84,23,50,0,166,15,2,1,773,97,4.08,1.303,9.2,1.2,2.5,8.4,3.32,
27,Chris Sale*,35,ATL,NL,6.2,18,3,0.857,2.38,29,29,0,0,0,0,177.2,141,48,47,9,39,0,225,8,1,4,702,174,2.09,1.013,7.1,0.5,2,11.4,5.77,"AS,CYA-1,MVP-7,GG"
28,Erick Fedde,31,2TM,2LG,5.6,9,9,0.5,3.3,31,31,0,0,0,0,177.1,154,66,65,20,52,0,154,5,1,3,726,126,3.86,1.162,7.8,1,2.6,7.8,2.96,
29,Framber Valdez*,30,HOU,AL,4.4,15,7,0.682,2.91,28,28,0,1,0,0,176.1,140,60,57,13,55,0,169,6,1,8,703,137,3.25,1.106,7.1,0.7,2.8,8.6,3.07,"CYA-7,MVP-15"
30,Yusei Kikuchi*,33,2TM,AL,1.4,9,10,0.474,4.05,32,32,0,0,0,0,175.2,167,85,79,25,44,0,206,2,0,4,736,101,3.46,1.201,8.6,1.3,2.3,10.6,4.68,CYA-9
31,Luis Castillo,31,SEA,AL,1.8,11,12,0.478,3.64,30,30,0,0,0,0,175.1,158,73,71,25,47,2,175,5,0,0,719,102,3.91,1.169,8.1,1.3,2.4,9,3.72,
32,Carlos Rodón*,31,NYY,AL,2,16,9,0.64,3.96,32,32,0,0,0,0,175,157,81,77,31,57,0,195,10,2,3,736,102,4.39,1.223,8.1,1.6,2.9,10,3.42,
33,Patrick Corbin*,34,WSN,NL,-0.9,6,13,0.316,5.62,32,32,0,0,0,0,174.2,208,114,109,25,54,1,139,3,0,3,764,73,4.41,1.5,10.7,1.3,2.8,7.2,2.57,
34,Nestor Cortes*,29,NYY,AL,2.6,9,10,0.474,3.77,31,30,1,0,0,0,174.1,162,74,73,24,39,0,162,4,1,2,710,107,3.84,1.153,8.4,1.2,2,8.4,4.15,
35,Max Fried*,30,ATL,NL,3.5,11,10,0.524,3.25,29,29,0,2,1,0,174.1,146,71,63,13,57,0,166,7,0,6,714,128,3.33,1.164,7.5,0.7,2.9,8.6,2.91,AS
36,Tanner Bibee,25,CLE,AL,2.7,12,8,0.6,3.47,31,31,0,0,0,0,173.2,150,70,67,22,44,0,187,8,0,2,710,116,3.56,1.117,7.8,1.1,2.3,9.7,4.25,
37,Michael King,29,SDP,NL,4.1,13,9,0.591,2.95,31,30,0,0,0,0,173.2,144,71,57,17,63,2,201,7,0,1,726,140,3.33,1.192,7.5,0.9,3.3,10.4,3.19,CYA-7
38,Freddy Peralta,28,MIL,NL,2.5,11,9,0.55,3.68,32,32,0,0,0,0,173.2,143,74,71,26,68,0,200,10,1,8,725,112,4.16,1.215,7.4,1.3,3.5,10.4,2.94,
39,Shota Imanaga*,30,CHC,NL,3,15,3,0.833,2.91,29,29,0,0,0,0,173.1,149,66,56,27,28,0,174,3,0,3,694,136,3.72,1.021,7.7,1.4,1.5,9,6.21,"AS,CYA-5,ROY-4"
40,Griffin Canning,28,LAA,AL,0.2,6,13,0.316,5.19,32,31,1,0,0,0,171.2,174,105,99,31,66,1,130,6,4,6,739,80,5.26,1.398,9.1,1.6,3.5,6.8,1.97,
41,Miles Mikolas,35,STL,NL,-0.3,10,11,0.476,5.35,32,32,0,0,0,0,171.2,194,106,102,26,25,0,122,5,1,0,720,77,4.24,1.276,10.2,1.4,1.3,6.4,4.88,
42,Chris Bassitt,35,TOR,AL,-0.1,10,14,0.417,4.16,31,31,0,0,0,0,171,180,91,79,18,70,2,168,16,2,2,758,99,4.08,1.462,9.5,0.9,3.7,8.8,2.4,
43,Nathan Eovaldi,34,TEX,AL,2.2,12,8,0.6,3.8,29,29,0,0,0,0,170.2,147,74,72,23,42,0,166,7,0,3,696,100,3.83,1.107,7.8,1.2,2.2,8.8,3.95,
44,Jose Quintana*,35,NYM,NL,2.5,10,10,0.5,3.75,31,31,0,0,0,0,170.1,150,73,71,22,63,0,135,11,0,7,717,105,4.56,1.25,7.9,1.2,3.3,7.1,2.14,
45,Hunter Brown,25,HOU,AL,2.6,11,9,0.55,3.49,31,30,0,0,0,0,170,156,71,66,18,60,0,179,5,1,4,712,114,3.58,1.271,8.3,1,3.2,9.5,2.98,
46,Kyle Gibson,36,STL,NL,1,8,8,0.5,4.24,30,30,0,0,0,0,169.2,161,91,80,23,68,1,151,4,0,5,722,97,4.42,1.35,8.5,1.2,3.6,8,2.22,
47,Colin Rea,33,MIL,NL,1.2,12,6,0.667,4.29,32,27,1,0,0,1,167.2,169,83,80,29,43,1,135,10,0,2,714,96,4.75,1.264,9.1,1.6,2.3,7.2,3.14,
48,Ronel Blanco,30,HOU,AL,4.4,13,6,0.684,2.8,30,29,1,1,1,0,167.1,114,56,52,22,68,0,166,2,0,3,676,143,4.15,1.088,6.1,1.2,3.7,8.9,2.44,
49,Michael Wacha,32,KCR,AL,3.4,13,8,0.619,3.35,29,29,0,0,0,0,166.2,154,65,62,17,45,1,145,5,0,3,685,122,3.65,1.194,8.3,0.9,2.4,7.8,3.22,
50,MacKenzie Gore*,25,WSN,NL,0.8,10,12,0.455,3.9,32,32,0,0,0,0,166.1,171,93,72,15,65,0,181,11,0,14,731,105,3.53,1.419,9.3,0.8,3.5,9.8,2.78,
51,Sonny Gray,34,STL,NL,1.8,13,9,0.591,3.84,28,28,0,0,0,0,166.1,142,79,71,21,39,0,203,3,1,7,671,107,3.12,1.088,7.7,1.1,2.1,11,5.21,
52,Charlie Morton,40,ATL,NL,1.1,8,10,0.444,4.19,30,30,0,0,0,0,165.1,154,85,77,23,65,1,167,18,1,2,701,99,4.46,1.325,8.4,1.3,3.5,9.1,2.57,
53,Jameson Taillon,32,CHC,NL,2.3,12,8,0.6,3.27,28,28,0,0,0,0,165.1,154,67,60,21,33,0,125,1,2,4,675,121,3.92,1.131,8.4,1.1,1.8,6.8,3.79,
54,Zach Eflin,30,2TM,AL,2.7,10,9,0.526,3.59,28,28,0,0,0,0,165.1,166,71,66,22,24,0,134,3,0,2,684,110,3.76,1.149,9,1.2,1.3,7.3,5.58,
55,Austin Gomber*,30,COL,NL,2.1,5,12,0.294,4.75,30,30,0,0,0,0,165,178,89,87,30,38,0,116,1,0,3,696,100,4.83,1.309,9.7,1.6,2.1,6.3,3.05,
