Name,Position,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,contact_score,power_score
adam frazier,2B,33.0,319.0,354.2,78.2,56.5,14.7,0.7,0.147196261682243,59.3,23.5,0.513304721030043,6.65,0.7841935483870969,0.6613666477380277,0.8001043841336116,0.656,35.6,113.0,3.8,7.1,0.2501,0.3366,0.7627698788836229,0.289,0.3135,0.0867,0.3097,0.3096,-0.007,0.0128,0.0007,66.25,85.24,14.68,39.85,2.04,5.49,0.39430179387970454,94.92338193,91.48232314,68.63,0.5788579197824608,18.68,49.51,-1.5,26.56,0.6937219079187132,0.5355405690988847
alex bregman,3B,31.0,449.7,508.0,122.9,74.6,26.1,1.4,0.485981308411215,69.7,49.6,0.5957081545064378,9.81,0.9012903225806451,0.9286390308536816,0.9371085594989561,0.8497,68.1,195.1,1.0,2.0,0.2623,0.4431,0.9636650868878356,0.3434,0.3453,0.1806,0.3877,0.3572,0.0171,0.0475,0.0226,71.08,89.8,18.38,33.23,7.2,8.04,0.7525501231093914,99.26417337,94.01734797,62.3,0.7025832766825288,14.06,41.81,0.0,26.27,0.8111779508616738,0.8153975216265765
amed rosario,SS,29.0,279.6,295.8,76.7,54.2,15.4,2.5,0.10747663551401869,53.2,12.0,0.5158798283261803,3.94,0.8954838709677421,0.7772099186068522,0.8149791231732777,0.7229,30.7,125.0,1.9,7.4,0.2842,0.4237,0.8256977356503422,0.324,0.3202,0.1395,0.3568,0.369,-0.0066,-0.0131,-0.0104,72.15,89.33,7.75,34.71,5.06,6.8,0.723531480830109,100.4066337,94.4133399,72.42,0.5431679129843644,22.4,54.79,-1.2,28.23,0.7249484465044149,0.6470739195459839
andrew mccutchen,DH,38.0,403.9,469.6,96.7,64.8,17.7,0.3,0.324766355140187,108.4,57.9,0.3430615164520745,12.37,0.7735483870967743,0.7319704713231119,0.8820459290187892,0.7247,44.1,160.1,1.7,3.6,0.2545,0.4251,0.8451816745655608,0.3407,0.3516,0.1706,0.3616,0.3927,-0.0147,-0.0384,-0.0197,71.77,89.27,13.85,33.61,9.61,5.87,0.7411185367569468,100.0381069,94.27781558,67.26,0.28042148198504413,27.95,43.87,0.2,27.27,0.6213748945220927,0.6863226221460286
austin hays,LF,29.0,313.5,343.7,82.6,51.4,18.6,2.9,0.2266355140186916,85.9,22.8,0.28726752503576547,6.44,0.8419354838709678,0.8150671966685595,0.8217640918580377,0.7455,43.4,135.8,0.8,3.6,0.2391,0.4089,0.8436018957345971,0.3084,0.2977,0.1701,0.399,0.3809,0.0219,0.0217,0.012,72.17,88.9,13.7,31.61,9.49,6.36,0.6793879704537461,99.8907005,94.08965629,70.34,0.30965329707681855,30.51,51.44,1.11e-16,27.41,0.6184940371412184,0.6788054246154345
austin hedges,C,32.0,135.6,155.2,21.3,15.6,3.4,0.0,0.053738317757009345,42.4,11.0,0.20600858369098718,7.32,0.49806451612903235,0.4436872988832103,0.5902922755741128,0.4606,10.7,66.4,0.0,1.3,0.1621,0.239,0.55318588730911,0.2174,0.2352,0.0769,0.2386,0.2476,-0.0077,-0.0046,-0.0073,70.38,86.83,22.5,26.85,1.62,6.51,0.5196975026380584,97.04030311,92.63307284,75.4,0.27328348062542496,31.17,52.87,0.0,25.04,0.42236545037422596,0.41374911993670965
austin slater,LF,32.0,155.1,176.0,35.6,25.0,6.0,0.5,0.09579439252336448,49.1,17.3,0.20343347639484988,9.48,0.7361290322580645,0.6810524323301155,0.8034968684759917,0.6677,15.4,71.8,1.0,1.8,0.2611,0.4578,0.7817272248551869,0.3465,0.3381,0.197,0.3622,0.4422,-0.0329,-0.098,-0.0496,71.03,90.88,8.01,38.73,10.95,8.37,0.7995075624340485,101.2911694,95.25032949,68.32,0.30591434398368456,27.1,46.16,0.4,28.05,0.5637573342959237,0.6178942881470734
bo bichette,SS,27.0,469.0,501.0,133.5,89.6,29.3,1.4,0.30841121495327106,83.2,27.4,0.5187410586552218,5.55,0.8925806451612904,0.8008707173954193,0.8361169102296452,0.7435,64.9,172.1,2.4,4.5,0.2904,0.4564,0.8478146392838335,0.343,0.3349,0.1658,0.3629,0.3909,-0.0137,-0.0333,-0.021,69.74,90.25,7.5,35.8,7.29,7.78,0.8165670066830812,101.5427313,95.2233149,74.01,0.6135282121006118,20.12,54.89,0.0,26.71,0.7450631207684473,0.7196012513310462
brandon lowe,2B,30.0,384.4,424.7,98.1,59.3,15.2,1.1,0.5257009345794393,110.4,33.4,0.2566523605150215,7.84,0.8222580645161292,0.9010032178686352,0.8308977035490606,0.7944,61.5,149.9,1.3,4.4,0.258,0.4863,0.8959978936282252,0.3455,0.3214,0.2283,0.4288,0.4376,-0.0031,-0.0103,-0.0052,73.36,91.12,15.0,36.8,12.16,6.18,0.8144565599718607,101.5642831,95.23089664,78.05,0.24609109449354183,32.21,54.46,0.0,26.97,0.5964954214212697,0.8071318323593181
brendan rodgers,2B,28.0,243.4,264.1,60.4,41.7,12.5,0.5,0.13317757009345796,70.8,17.0,0.15364806866952807,7.18,0.7329032258064517,0.6411130039750143,0.7562630480167015,0.6285,25.7,104.8,0.5,0.3,0.2396,0.4062,0.7348604528699315,0.3082,0.3006,0.1668,0.3546,0.4093,-0.0124,-0.0675,-0.0291,72.96,89.7,7.83,37.09,11.01,6.67,0.8010903974674639,101.2330258,94.83720999,65.74,0.35112168592794013,31.75,48.01,0.0,26.26,0.5477038330664397,0.5996456305656681
