Name,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA,Position,player_age,strikeout_score,contact_score,overall_score
a.j. minter,113.7,103.2,21.4,15.5,2.7,0.2,3,33.9,9.5,0.767382702,0.561881188,0.8164,0.2695,0.257,0.4735,0.2085,0.3742,0.461269841,0.2863,0.2802,0.358042636,0.2903,0.3743,-0.0249,-0.1047,-0.0486,71.93,88.62,11.48,33.3,9.47,-6.16,-38.25,77.43658131,94.22943486,65.9,24.51,0.796800948,45.64,0.247524752,0.084578928,0.899827288,0.752,RP,31,0.65323986,-1.459426032,0.453375366
aaron civale,478,434.2,108.7,65.9,26,0.2,16.6,100.4,36.2,0.490390051,0.628712871,0.7489,0.4276,0.3148,0.2576,0.2435,0.4162,0.194603175,0.3156,0.3084,0.322674419,0.3713,0.3621,0.0076,0.0114,0.0061,71.67,88.72,18.21,34.8,8.41,-6.03,-37.5,77.89461947,93.92243748,63.9,15.4,0.503850711,45.69,0.374257426,0.340867663,0.240759931,4.545,SP,30,0.488549687,-1.482449365,0.291599375
adrian houser,362.4,327.2,87.9,60.7,18,1.7,7.5,62.7,29.4,0.388637648,0.589108911,0.7318,0.4042,0.3361,0.2597,0.2716,0.4157,0.185396825,0.3312,0.3394,0.462693798,0.3524,0.3615,-0.0034,-0.0115,-0.0066,72.13,90.75,9.58,31.12,6.81,-4.19,-44.23,80.4032927,94.97898522,66.43,11.6,0.402843602,46.85,0.504950495,0.404301859,0.28462867,4.081,SP,32,0.447804917,-0.933160635,0.354813486
alex cobb,147.8,137.4,36.8,24.7,6.9,1.1,4.1,29.2,8.3,0.158564161,0.942450495,0.8733,0.1905,0.146,0.6635,0.1397,0.2325,0.753333333,0.1692,0.16,0.712693798,0.1658,0.1954,-0.013,-0.042,-0.0235,36.27,45.53,0.53,16.43,3.23,-2.23,-21.15,40.49245028,47.53118096,29.45,4.81,0.132405213,22,0.314851485,0.078745899,0.86148532,0.774,SP,0,0.418319671,-0.227143333,0.519316888
alex vesia,224.8,194.5,36.8,21.7,7.1,0.5,7.5,72.4,22.3,0.816845676,0.501237624,0.809,0.3491,0.2814,0.3695,0.1873,0.3564,0.346349206,0.2772,0.2792,0.340116279,0.3556,0.3627,0.0037,-0.0073,-0.0033,71.14,88.72,25.86,32.31,10.92,-4.62,-36.25,77.71432789,94.07133983,69.81,24.95,0.753850711,49.31,0.425742574,0.599343784,0.365803109,2.773,RP,29,0.639479696,-1.017750159,0.426602303
andres munoz,207.8,178.9,29.3,22.7,3.4,0,3.2,67,23.7,0.817976258,0.394183168,0.8372,0.2329,0.2703,0.4968,0.1957,0.3096,0.483492063,0.2717,0.2993,0.609011628,0.2697,0.3448,-0.0329,-0.0767,-0.041,70.68,87.12,4.76,29.58,7.43,-2.71,-36.67,74.91100208,93.81042428,64.66,25,0.972156398,46.32,0.23960396,0.098432373,0.906735751,0.588,RP,26,0.737678756,-0.411081587,0.460286801
andrew chafin,178.1,153.3,37.6,29.6,4.2,0.6,3.2,45.6,22.9,0.593273036,0.298886139,0.7525,0.3313,0.3463,0.3224,0.2318,0.3483,0.244126984,0.3055,0.3336,0.595445736,0.3482,0.3471,0.0157,-0.017,0.0006,71.76,87.76,13.08,32.87,5.1,-4.4,-35.32,77.07607797,93.31551825,62.76,14.31,0.720082938,44.83,0.237623762,0.194677361,0.67806563,1.999,RP,35,0.572873167,-0.976164603,0.362467687
andrew heaney,595.1,535,136.3,80.3,31.3,1.2,23.5,119.4,43.8,0.460994912,0.644183168,0.7445,0.4543,0.322,0.2237,0.2694,0.4682,0.152063492,0.3479,0.3362,0.197674419,0.3815,0.399,-0.0139,-0.0139,-0.0128,71.96,90.05,15.92,36.25,9.68,-5.42,-40.7,79.40269805,94.6683532,67.34,16.51,0.535841232,48.48,0.277227723,0.318264674,0.152158895,4.809,SP,34,0.467422361,-1.307837302,0.222881618
andrew kittredge,174.6,161.3,36.4,22.7,6.7,1.3,5.7,43.1,10.9,0.596664782,0.746287129,0.7711,0.3871,0.2745,0.3384,0.2469,0.4037,0.314920635,0.3004,0.2928,0.401162791,0.3505,0.3749,-0.018,-0.0166,-0.0166,71.73,89.18,10.38,36.44,6.84,-5.89,-39.57,78.77809855,93.99901767,66.74,14.48,0.62292654,53.75,0.35049505,0.366751732,0.508117444,2.625,RP,35,0.595367381,-1.417785873,0.393918221
anthony desclafani,155.3,139.6,36,21.3,8.5,0.2,6,31.3,9.5,0.320802713,0.804455446,0.8248,0.3132,0.2242,0.4626,0.1722,0.2942,0.486984127,0.2242,0.2232,0.569767442,0.2659,0.2579,0.003,0.019,0.0054,50.71,62.22,9.28,22.57,5.31,-3.73,-28.32,54.33905008,66.07501304,45.13,10.5,0.380924171,32.99,0.21980198,0.062705067,0.849740933,0.976,RP,35,0.485362643,-0.729323175,0.430800713
