Name,Position,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,WAR,OPS+,Rbat+
martin maldonado,C,2025,38,147,161,30,20,6,0,4,57,8,35.4,5,0.204,0.327,0.245,0.572,12,53,0,0,0.2,0.366,0.251,0.263,0.242,0.165,0.371,0.392,0.004,-0.039,-0.012,71.2,86,16.1,30.2,9.4,3.1,28.1,97.99074955,93.00243034,56.5,27.7,38.4,45.3,,23.1,,,
joey gallo,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominic smith,1B,2025,30,149,166,42,30,9,0,3,30,13,18.1,7.8,0.282,0.403,0.343,0.746,23,55,0,2,0.256,0.393,0.328,0.313,0.322,0.137,0.363,0.344,0.026,0.01,0.015,67.9,87.5,16.1,40.5,4.1,8.3,33.1,97.79769098,93.01650405,66.2,12.9,21.9,48.5,,25.3,0.3,114,113
orlando arcia,SS,2025,30,158,165,30,23,3,1,3,36,7,21.8,4.2,0.19,0.278,0.224,0.502,9,70,0,0,0.21,0.298,0.222,0.239,0.244,0.088,0.261,0.284,-0.02,-0.02,-0.017,70.1,86.1,6.8,26.2,2.5,4.1,30.3,97.3010795,92.65295358,71.3,16.1,23.4,53.7,,25.3,-1,43,37
chris taylor,3B,2025,34,72,77,14,7,6,0,1,28,1,36.4,1.3,0.194,0.319,0.247,0.566,6,33,1,1,0.198,0.323,0.251,0.254,0.25,0.125,0.358,0.363,-0.004,-0.004,-0.003,70,83.4,21,43.2,6.8,6.8,29.5,95.86699182,92.09242837,71.7,31.6,39.4,52,0,27.6,,,
tomás nido,C,2025,31,35,37,12,12,0,0,0,10,0,27,0,0.343,0.343,0.361,0.704,2,15,0,0,0.264,0.331,0.315,0.27,0.285,0.067,0.424,0.36,0.079,0.012,0.045,69,86.4,10.4,38.5,0,3.8,34.6,97.70540231,93.0468092,81.4,16.7,25.7,58.8,,25.1,,,
ildemaro vargas,2B,2025,33,30,31,8,5,2,0,1,7,0,22.6,0,0.267,0.433,0.29,0.723,4,18,0,0,0.249,0.391,0.313,0.287,0.273,0.142,0.39,0.356,0.018,0.042,0.026,70.2,90.6,11.1,30.4,4.3,0,43.5,99.79210182,94.55307409,70.6,22.2,28.3,58.8,,27.5,,,
james mccann,C,2025,35,74,86,18,13,2,0,3,21,8,24.4,9.3,0.243,0.392,0.337,0.729,9,25,0,0,0.232,0.37,0.324,0.314,0.331,0.138,0.373,0.358,0.011,0.022,0.01,71.6,92.4,4.2,27.8,5.6,5.6,51.9,102.2623633,95.60990537,68.9,19.8,30.8,48.5,,26.4,,,
paul dejong,3B,2025,31,130,141,33,20,7,0,6,41,9,29.1,6.4,0.254,0.446,0.305,0.751,19,54,0,4,0.219,0.4,0.324,0.293,0.274,0.181,0.43,0.382,0.035,0.046,0.031,72.1,89.7,24.4,36.7,10,10,43.3,100.2886831,94.36000933,76.9,19.9,30.1,56.4,,26.4,0,86,81
ty france,1B,2025,30,393,434,102,72,24,0,6,71,20,16.4,4.6,0.26,0.366,0.327,0.693,46,157,0,1,0.27,0.445,0.309,0.342,0.338,0.175,0.328,0.372,-0.01,-0.079,-0.033,70.9,89.5,10.9,35.9,8,7.1,43,100.5469585,94.6170087,74.1,11.2,21.1,51.9,,25,1.2,95,98
luis urias,3B,2025,28,282,323,66,51,7,0,8,43,30,13.3,9.3,0.234,0.344,0.316,0.66,23,110,1,2,0.24,0.355,0.296,0.304,0.323,0.115,0.29,0.301,-0.006,-0.011,-0.008,69.4,86.2,14.4,29.8,3.7,5,30.6,96.83811959,92.43120446,59.9,8.7,13,42.4,,26,0.4,81,87
mark canha,1B,2025,36,113,125,24,20,3,0,1,24,7,19.2,5.6,0.212,0.265,0.272,0.537,6,52,1,0,0.218,0.312,0.244,0.273,0.288,0.094,0.258,0.298,-0.006,-0.047,-0.029,68.7,86.6,19.9,25.3,2.2,5.5,33,97.29821783,92.70554033,61.3,15.8,23.7,45.8,0,27.8,-1,52,46
austin slater,LF,2025,32,130,142,29,17,6,1,5,39,11,27.5,7.7,0.223,0.4,0.284,0.684,12,72,0,1,0.281,0.547,0.298,0.376,0.338,0.266,0.377,0.501,-0.058,-0.147,-0.078,69.6,92.4,8.7,41.3,15.2,10.9,50,102.7941109,96.16924364,71.4,17.5,24.4,49.6,1,28.1,0.1,89,88
michael a. taylor,CF,2025,34,228,254,49,22,18,1,8,83,21,32.7,8.3,0.215,0.408,0.282,0.69,28,96,3,7,0.21,0.419,0.297,0.301,0.279,0.21,0.408,0.415,0.005,-0.011,-0.004,72.5,91.4,18.1,41.6,11.4,12.8,46.3,102.269768,95.67207652,70.5,27.8,38,51.2,3,27.6,0.3,78,70
jacob stallings,C,2025,35,119,129,16,12,4,0,0,40,6,31,4.7,0.134,0.168,0.195,0.363,9,68,0,0,0.168,0.225,0.171,0.206,0.226,0.058,0.198,0.254,-0.034,-0.057,-0.035,67.1,85,10.6,31.3,1.3,3.8,26.3,94.85299475,91.47034823,71,25.3,34.1,55.6,,23.6,-1.4,0,-9
brendan rodgers,2B,2025,28,115,128,22,16,4,0,2,46,11,35.9,8.6,0.191,0.278,0.266,0.544,11,66,1,0,0.228,0.415,0.247,0.311,0.299,0.187,0.332,0.449,-0.037,-0.137,-0.064,74.1,90.5,10.8,40,14.3,7.1,48.6,101.9047074,95.24119029,63.8,23.5,37.8,47.2,,26.4,0,52,63
amed rosario,SS,2025,29,156,166,44,29,10,0,5,23,7,13.9,4.2,0.282,0.442,0.319,0.761,19,59,0,1,0.31,0.48,0.329,0.358,0.348,0.17,0.361,0.397,-0.028,-0.038,-0.029,73.1,91.2,9.7,35.8,6,9,44.8,101.8766749,95.27571744,73.6,12.4,20.8,55.1,,27.3,0.3,110,111
rob refsnyder,RF,2025,34,136,157,37,22,9,0,6,41,18,26.1,11.5,0.272,0.471,0.357,0.828,22,61,0,3,0.257,0.451,0.356,0.342,0.344,0.194,0.443,0.421,0.015,0.02,0.014,73.3,91.8,12.3,36.1,11.3,8.2,50.5,102.2855527,95.80552165,62.5,20.8,27.3,41.6,-1,26.6,1.2,132,137
dylan moore,2B,2025,32,190,211,37,23,5,0,9,75,19,35.5,9,0.195,0.363,0.265,0.628,19,88,4,12,0.199,0.343,0.276,0.275,0.272,0.144,0.384,0.383,-0.004,0.02,0.001,71.9,84.4,20.6,36.8,8.5,7.7,34.2,97.8141661,92.9588947,69.7,29.8,34.5,49,-2,27.6,0.4,84,88
jose iglesias,3B,2025,35,247,280,57,47,9,0,1,47,22,16.8,7.9,0.231,0.279,0.307,0.586,28,109,1,4,0.243,0.297,0.269,0.281,0.319,0.054,0.272,0.288,-0.012,-0.018,-0.012,68.5,83.6,2.7,27.3,0.5,2.4,25.4,95.075748,91.59285472,54.8,11.8,17.9,44.4,,27.7,-1,57,67
gary sánchez,DH,2025,32,91,101,21,14,2,0,5,27,4,26.7,4,0.231,0.418,0.297,0.715,24,28,0,0,0.248,0.428,0.312,0.322,0.313,0.18,0.386,0.403,-0.017,-0.01,-0.01,73.1,93.3,18.4,24.6,10.8,3.1,57.8,103.0815563,96.65170656,59.8,16,26.7,42.4,,24.6,,,
miguel andujar,3B,2025,30,261,279,82,59,13,1,9,39,15,14,5.4,0.314,0.475,0.351,0.826,36,91,0,1,0.261,0.393,0.356,0.305,0.305,0.132,0.395,0.332,0.053,0.082,0.051,71.6,87.5,11,32.1,5.4,6.7,35.3,98.85576973,93.44093707,71.7,8.8,17.3,52.1,-3,27.1,0.8,124,123
donovan solano,2B,2025,37,160,173,41,33,4,1,3,36,8,20.8,4.6,0.256,0.35,0.301,0.651,21,86,0,0,0.235,0.336,0.287,0.271,0.281,0.101,0.333,0.311,0.021,0.014,0.016,65.9,87.5,12.3,35.7,4,4.8,37.3,97.97551873,93.10985341,65.7,15.2,25.2,51.4,,25,0,84,86
ryan o'hearn,DH,2025,31,350,408,97,64,17,1,15,75,48,18.4,11.8,0.277,0.46,0.37,0.83,50,162,1,3,0.285,0.468,0.359,0.365,0.378,0.182,0.395,0.404,-0.008,-0.008,-0.006,71.9,90.3,11.3,38.7,8.6,8.2,46.9,100.4108707,94.6590409,66.1,13,22.6,46.2,0,27.7,2.1,127,127
austin hedges,C,2025,32,118,138,17,11,3,0,3,36,14,26.1,10.1,0.144,0.246,0.237,0.483,6,56,0,1,0.162,0.255,0.222,0.234,0.254,0.093,0.233,0.252,-0.018,-0.009,-0.012,71.6,87.9,26,27.6,2.3,8,32.2,98.43875024,93.38626061,76.4,20.6,31.4,52.2,,25.1,-0.6,36,28
tommy pham,RF,2025,37,296,336,77,58,12,1,6,75,34,22.3,10.1,0.26,0.368,0.333,0.701,34,113,1,5,0.261,0.402,0.308,0.323,0.336,0.141,0.355,0.376,-0.001,-0.034,-0.015,73.4,92.1,7.5,32.7,6.2,7.1,47.8,102.1286174,95.59603893,59.9,16,24.2,42.1,-1,27.4,1.4,103,106
adam frazier,2B,2025,33,316,350,85,65,15,0,5,56,21,16,6,0.269,0.364,0.324,0.688,34,105,6,8,0.253,0.338,0.302,0.286,0.311,0.085,0.326,0.305,0.016,0.026,0.016,65.8,85.5,14.1,40.6,1.1,6.8,21.8,94.73187985,91.36804557,71.2,13.5,18.4,51.5,-3,26.5,1.3,94,94
andrew mccutchen,DH,2025,38,383,441,91,63,17,0,11,97,51,22,11.6,0.238,0.368,0.328,0.696,41,156,1,1,0.27,0.434,0.309,0.344,0.356,0.164,0.344,0.398,-0.032,-0.066,-0.035,71.2,89.6,14.2,34.6,9.3,5.2,44.3,100.2895592,94.41408805,69.4,21,27.6,45.9,,27.1,0.6,104,102
trent grisham,CF,2025,28,368,429,90,59,9,1,21,90,58,21,13.5,0.245,0.446,0.35,0.796,46,129,2,1,0.269,0.512,0.349,0.381,0.371,0.244,0.388,0.436,-0.024,-0.066,-0.032,71.1,90.6,15.2,34.8,14,7.5,45.2,100.9397483,94.93978254,59.4,14.2,20.3,39.5,-1,26.8,3.5,131,143
wilmer flores,1B,2025,33,356,396,89,67,9,0,13,73,31,18.4,7.8,0.25,0.385,0.318,0.703,63,164,0,1,0.223,0.325,0.31,0.28,0.296,0.103,0.339,0.297,0.027,0.06,0.03,65.6,85.1,17.8,34.6,4.2,3.8,25.2,95.61856469,91.80928234,62.8,13.3,19.6,46.3,,24.5,0.4,99,105
