Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
carlos carrasco,SP,471911,2023,36,417,371,115,71,24,2,18,66,38,15.8,9.1,0.31,0.531,0.381,0.912,0.306,0.524,0.39,0.388,0.379,0.218,0.429,0.427,0.004,0.007,0.002,72.7,91.5,8.7,37.5,10.7,7.8,48.2,80.85317331,95.65438964,69.4,14,24.7,46.9
hector neris,RP,593576,2023,34,273,236,41,27,7,0,7,77,31,28.2,11.4,0.174,0.292,0.277,0.569,0.195,0.33,0.259,0.283,0.296,0.135,0.291,0.331,-0.021,-0.038,-0.024,71.6,86.5,19.4,29.2,8.1,3.1,28,74.98336667,93.0671231,71.5,25.3,30.6,50.6
joey lucchesi,RP,664192,2023,30,195,175,44,27,13,0,4,32,17,16.4,8.7,0.251,0.394,0.325,0.719,0.275,0.473,0.316,0.354,0.346,0.198,0.336,0.387,-0.024,-0.079,-0.038,72.7,88.8,12.3,34,10.4,4.9,38.2,76.99281329,94.40476381,64.3,11.7,17.4,43.8
tyler alexander,RP,641302,2023,28,181,172,44,26,10,0,8,44,5,24.3,2.8,0.256,0.453,0.283,0.736,0.236,0.423,0.313,0.293,0.264,0.187,0.399,0.372,0.02,0.03,0.02,,89.2,18.8,38.8,10.9,8.5,40.3,78.75439203,93.94028764,64.9,14.5,18.3,49.2
erasmo ramirez,RP,541640,2023,33,274,250,82,57,13,1,11,43,13,15.7,4.7,0.328,0.52,0.361,0.881,0.292,0.493,0.372,0.351,0.331,0.201,0.421,0.393,0.036,0.027,0.021,71.9,89.7,10,37.4,8.4,7,43.5,78.90707514,94.53338183,73.7,14.6,20.2,51.5
trevor richards,RP,670950,2023,30,315,276,63,36,13,1,13,105,35,33.3,11.1,0.228,0.424,0.317,0.741,0.201,0.368,0.318,0.291,0.296,0.167,0.437,0.389,0.027,0.056,0.027,70.5,88.5,17.3,38.7,10.4,10.4,37.6,77.59265093,93.89933936,63.4,24.1,37,47.6
sean newcomb,RP,656794,2023,30,61,50,8,5,2,0,1,17,9,27.9,14.8,0.16,0.26,0.311,0.571,0.189,0.337,0.272,0.308,0.335,0.148,0.27,0.335,-0.029,-0.077,-0.036,69.8,89.7,18.5,27.3,6.1,12.1,45.5,79.74663706,94.2611697,63,16.1,21.4,45
shelby miller,RP,571946,2023,32,163,141,19,10,6,0,3,42,19,25.8,11.7,0.135,0.241,0.247,0.488,0.187,0.347,0.222,0.28,0.293,0.16,0.225,0.319,-0.052,-0.106,-0.058,71.2,89.5,14.9,30,7,9,37,79.278076,94.42699576,61.1,18.2,26,43
bryse wilson,RP,669060,2023,25,314,284,60,33,16,2,9,61,22,19.4,7,0.211,0.377,0.271,0.648,0.246,0.406,0.281,0.307,0.303,0.161,0.312,0.349,-0.035,-0.029,-0.026,72,88.6,16.9,36.7,7,7.4,35.8,78.11009402,93.61705397,70.2,12.4,18.5,48.7
tim mayza,RP,641835,2023,31,215,199,50,36,12,0,2,53,15,24.7,7,0.251,0.342,0.302,0.644,0.252,0.355,0.279,0.284,0.303,0.103,0.345,0.354,-0.001,-0.013,-0.005,71.6,87.3,1.9,28.6,4.1,2.7,39.5,74.28569736,94.27199056,60.7,16.6,22.9,43.8
jalen beeks,RP,656222,2023,29,192,167,42,28,10,0,4,47,21,24.5,10.9,0.251,0.383,0.335,0.718,0.215,0.329,0.317,0.294,0.308,0.115,0.37,0.334,0.036,0.054,0.023,71.7,88.3,10.2,32.5,7.3,6.5,35,77.9836,93.43205,65.8,21.3,31,46.4
shawn armstrong,RP,542888,2023,32,207,191,36,25,8,1,2,54,11,26.1,5.3,0.188,0.272,0.246,0.518,0.207,0.306,0.233,0.253,0.264,0.099,0.272,0.303,-0.019,-0.034,-0.02,71.7,87.5,18.1,33.3,3.6,8,33.3,76.96195362,93.05010348,71.2,21.5,26.3,53.8
adrian houser,SP,605288,2023,30,481,443,121,89,18,1,13,96,34,20,7.1,0.273,0.406,0.324,0.73,0.261,0.409,0.318,0.315,0.315,0.148,0.367,0.364,0.012,-0.003,0.003,72.7,90.5,11.2,30.9,7.1,6,46.3,80.08131437,94.91392507,64,13.2,18.7,45.2
drew pomeranz,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad keller,SP,641745,2023,27,211,162,42,31,8,0,3,31,45,14.7,21.3,0.259,0.364,0.427,0.791,0.232,0.381,0.364,0.36,0.406,0.15,0.328,0.322,0.027,-0.017,0.004,71.1,89.2,5,30.3,6.8,1.5,36.4,79.63309727,93.49613417,59.3,11.8,22.8,37.5
mike clevinger,RP,605182,2023,32,549,496,121,75,27,3,16,110,40,20,7.3,0.244,0.407,0.31,0.717,0.239,0.403,0.312,0.312,0.307,0.164,0.351,0.351,0.005,0.004,0,70.7,88.1,21.4,34.9,7.2,6.9,35.9,77.25460072,93.56354382,69.4,15.3,23.2,49.1
miguel castro,RP,612434,2023,28,268,239,51,32,11,0,8,60,25,22.4,9.3,0.213,0.36,0.296,0.656,0.233,0.379,0.286,0.301,0.313,0.146,0.324,0.347,-0.02,-0.019,-0.015,71.4,86.1,10.5,33.3,6.1,6.1,28.3,74.75168652,92.77636882,61.4,18.4,26.9,45.7
anthony desclafani,RP,543101,2023,33,419,388,105,64,25,1,15,79,20,18.9,4.8,0.271,0.456,0.311,0.767,0.286,0.486,0.328,0.346,0.326,0.2,0.382,0.407,-0.015,-0.03,-0.018,72.3,90.1,11.4,34.6,8.3,7.9,45.1,78.58761477,95.10531839,67.4,11,20.3,46.7
ryan yarbrough,RP,642232,2023,31,376,354,96,69,14,0,13,67,13,17.8,3.5,0.271,0.421,0.311,0.732,0.268,0.438,0.317,0.322,0.308,0.17,0.362,0.369,0.003,-0.017,-0.005,70.6,85.4,16.7,32.6,6.6,4.5,29.2,73.24484239,92.76774338,67.4,17.1,22.8,51.5
luke weaver,RP,596133,2023,29,563,515,155,83,40,3,29,109,40,19.4,7.1,0.301,0.559,0.353,0.912,0.286,0.494,0.385,0.357,0.34,0.209,0.453,0.415,0.015,0.065,0.028,72.1,89.3,15.4,40.2,9.8,7.3,42,78.04239848,94.5086799,69,17.7,21.6,47.3
dustin may,SP,669160,2023,25,187,168,29,18,10,0,1,34,16,18.2,8.6,0.173,0.25,0.251,0.501,0.232,0.338,0.229,0.286,0.305,0.106,0.225,0.303,-0.059,-0.088,-0.057,,89,11.3,29.6,5.2,6.7,40,78.71302118,93.81145059,65.8,13.8,15.8,47.3
justin wilson,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny coulombe,RP,543056,2023,33,210,195,45,35,6,0,4,58,12,27.6,5.7,0.231,0.323,0.282,0.605,0.22,0.347,0.269,0.272,0.272,0.127,0.338,0.344,0.011,-0.024,-0.003,70,85.6,13.7,26.8,5.8,5.1,30.4,73.85558574,92.77453074,62.4,20.5,29.8,46.5
hoby milner,RP,571948,2023,32,252,235,49,34,9,1,5,59,13,23.4,5.2,0.209,0.319,0.254,0.573,0.217,0.345,0.251,0.267,0.264,0.128,0.297,0.318,-0.008,-0.026,-0.016,70.2,86.6,10.1,33.1,6.2,5.6,35.4,75.54170568,92.87961326,56.4,16.2,20.6,42.5
kyle hendricks,SP,543294,2023,33,578,542,138,92,30,3,13,93,27,16.1,4.7,0.255,0.393,0.293,0.686,0.269,0.413,0.296,0.313,0.307,0.145,0.33,0.351,-0.014,-0.02,-0.017,71.4,85.2,11.2,33.7,6.2,5.1,31.5,72.3316,93.05979777,62,13.7,21.1,46.7
caleb thielbar,RP,573204,2023,36,120,113,23,10,5,1,7,36,6,30,5,0.204,0.451,0.244,0.695,0.222,0.421,0.293,0.292,0.261,0.199,0.398,0.397,-0.018,0.03,0.001,71.8,88.6,20.4,37.2,11.5,6.4,35.9,77.96140667,93.74346195,70.6,20.6,24.1,50.1
caleb ferguson,RP,657571,2023,26,270,238,64,50,9,1,4,70,23,25.9,8.5,0.269,0.366,0.352,0.718,0.248,0.335,0.321,0.303,0.334,0.086,0.384,0.355,0.021,0.031,0.018,70.8,89.3,9.1,29.6,3,4.7,39.1,78.89940831,94.03025067,67.3,17.8,26.1,49.2
derek law,RP,571882,2023,32,240,209,50,37,6,1,6,45,26,18.8,10.8,0.239,0.364,0.332,0.696,0.265,0.394,0.311,0.334,0.356,0.129,0.327,0.361,-0.026,-0.03,-0.023,70.7,87,14.2,38,4.8,5.4,32.5,76.35456288,92.89302625,68.7,18.9,27.1,47.8
cal quantrill,SP,615698,2023,28,444,398,111,74,22,4,11,58,35,13.1,7.9,0.279,0.437,0.345,0.782,0.29,0.484,0.339,0.365,0.359,0.194,0.352,0.385,-0.011,-0.047,-0.026,71.3,87.9,13.4,37.2,8.4,6.7,39.2,76.12958117,94.0103117,70.8,14.8,18.9,47
seranthony dominguez,RP,622554,2023,28,224,195,48,37,4,0,7,48,22,21.4,9.8,0.246,0.374,0.339,0.713,0.246,0.402,0.318,0.331,0.341,0.157,0.349,0.368,0,-0.028,-0.013,72.3,85.5,14.8,35.8,8.1,3.4,31.1,72.58006069,93.2274424,75.1,23,28,50.6
hunter harvey,RP,640451,2023,28,235,217,44,30,7,0,7,67,13,28.5,5.5,0.203,0.332,0.251,0.583,0.224,0.38,0.252,0.283,0.273,0.157,0.322,0.369,-0.021,-0.048,-0.031,71.2,89.6,11.7,32,8.5,7.2,41.2,79.11367868,94.36678559,68.8,21.8,26.3,50.9
joe ross,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris paddack,SP,663978,2023,27,22,21,6,4,1,0,1,8,1,36.4,4.5,0.286,0.476,0.318,0.794,0.249,0.405,0.34,0.297,0.283,0.157,0.521,0.449,0.037,0.071,0.043,70.7,85.5,10.6,46.2,7.7,7.7,38.5,74.9115,92.56884846,68.9,29,33.3,49.4
griffin canning,SP,656288,2023,27,536,493,121,77,19,3,22,139,36,25.9,6.7,0.245,0.43,0.303,0.733,0.236,0.421,0.315,0.309,0.296,0.185,0.395,0.389,0.009,0.009,0.006,71,91,12.8,31.5,9.8,5.1,44.2,81.18228177,94.78103805,66.3,17.5,29.1,48.4
ryne stanek,RP,592773,2023,31,213,190,42,26,8,0,8,51,21,23.9,9.9,0.221,0.389,0.3,0.689,0.222,0.403,0.3,0.31,0.304,0.181,0.349,0.364,-0.001,-0.014,-0.01,71.6,90.1,22.5,32.9,7.1,11.4,44.3,80.46003671,94.16807543,76.9,24.1,30.7,52.4
ryan brasier,RP,518489,2023,35,239,213,42,30,9,0,3,56,20,23.4,8.4,0.197,0.282,0.272,0.554,0.231,0.346,0.248,0.292,0.308,0.116,0.273,0.339,-0.034,-0.064,-0.044,70.5,89.5,12.8,31.3,3.8,7.5,42.5,79.36549038,94.12021421,70.7,17.6,25.1,51.2
andrew chafin,RP,605177,2023,33,224,195,45,25,11,3,6,63,28,28.1,12.5,0.231,0.41,0.33,0.74,0.231,0.396,0.324,0.321,0.331,0.165,0.398,0.391,0,0.014,0.003,72,86.8,13.9,38.6,9.8,6.1,32.6,74.91883292,93.36492546,60.3,17.8,31.8,43
clayton kershaw,SP,477132,2023,35,523,479,100,62,19,0,19,137,40,26.2,7.6,0.209,0.367,0.273,0.64,0.232,0.393,0.28,0.3,0.295,0.161,0.339,0.369,-0.023,-0.026,-0.02,73,89,11.8,34.7,9,5.5,39.1,77.97043795,94.20990047,69.3,18,28.1,49.6
michael kopech,SP,656629,2023,27,591,483,115,63,21,2,29,134,91,22.7,15.4,0.238,0.47,0.368,0.838,0.239,0.454,0.363,0.363,0.371,0.214,0.404,0.403,-0.001,0.016,0,71.3,90.3,17.8,31.6,12.7,6.8,42.4,79.99523364,94.72003952,63.4,20,26.9,42.1
andrew heaney,SP,571760,2023,32,641,569,143,84,34,2,23,151,60,23.6,9.4,0.251,0.439,0.332,0.771,0.24,0.429,0.335,0.327,0.323,0.189,0.394,0.383,0.011,0.01,0.008,71.4,90.1,14.8,31.4,10.2,6,38.6,80.11818885,94.26314344,68.3,18.7,26.5,48.2
chris martin,RP,455119,2023,37,199,190,45,37,6,0,2,46,8,23.1,4,0.237,0.3,0.266,0.566,0.265,0.345,0.243,0.277,0.297,0.08,0.304,0.35,-0.028,-0.045,-0.034,70.6,84.5,4.1,35.9,2.1,3.4,31,72.03370181,92.71256643,73.2,21.1,23.3,58.3
tyler rogers,RP,643511,2023,32,309,280,66,44,14,1,7,60,19,19.4,6.1,0.236,0.368,0.289,0.657,0.219,0.306,0.284,0.257,0.275,0.087,0.324,0.287,0.017,0.062,0.027,70.9,84.4,8.7,26.2,2.2,5.3,27.6,71.87197189,92.51610213,70.1,19.5,22.4,51.2
gregory soto,RP,642397,2023,28,250,224,47,31,10,0,6,65,22,26,8.8,0.21,0.335,0.284,0.619,0.199,0.306,0.274,0.26,0.274,0.107,0.322,0.299,0.011,0.029,0.014,70.7,87.4,8.4,28.6,5.6,3.7,34.8,75.98296772,93.41221892,63.8,24.8,34.2,48.1
kyle finnegan,RP,640448,2023,31,288,260,66,44,11,0,11,63,24,21.9,8.3,0.254,0.423,0.318,0.741,0.264,0.444,0.32,0.332,0.328,0.18,0.377,0.394,-0.01,-0.021,-0.012,71.7,92.2,9.4,34,8.5,7,47.5,81.82415268,95.99843335,70,17.9,24.8,49.5
zack littell,RP,641793,2023,27,379,360,94,60,20,1,13,74,12,19.5,3.2,0.261,0.431,0.291,0.722,0.272,0.437,0.308,0.317,0.302,0.165,0.366,0.378,-0.011,-0.006,-0.009,71.8,89.6,12.8,33.9,8.3,5.2,41.9,79.01714126,94.34008228,72,13.6,21,53.4
austin gomber,SP,596295,2023,29,603,552,164,100,35,3,26,87,43,14.4,7.1,0.297,0.513,0.351,0.864,0.292,0.499,0.368,0.361,0.346,0.207,0.405,0.397,0.005,0.014,0.007,73.2,90.5,12.8,31.3,8.9,6.8,44.3,79.77744665,94.9510922,67.9,14.3,19.1,47.5
phil maton,RP,664208,2023,30,274,237,49,31,12,0,6,74,25,27,9.1,0.207,0.333,0.304,0.637,0.191,0.323,0.284,0.274,0.291,0.132,0.329,0.314,0.016,0.01,0.01,71.3,84.5,11.7,31.9,7.2,4.8,23.5,73.63354415,91.74159908,71,24.3,32.9,50
jake junis,RP,596001,2023,30,367,335,90,54,23,1,12,96,21,26.2,5.7,0.269,0.451,0.318,0.769,0.241,0.396,0.328,0.298,0.293,0.155,0.419,0.375,0.028,0.055,0.03,71.8,88.5,13.1,32.9,8.2,6.2,35.4,77.20334713,93.95687872,61.8,14.1,27.3,46.7
devin williams,RP,642207,2023,28,231,202,26,16,6,0,4,87,28,37.7,12.1,0.129,0.218,0.238,0.456,0.171,0.284,0.214,0.254,0.275,0.114,0.257,0.338,-0.042,-0.066,-0.04,71.7,85.9,8.9,35.7,7,7.8,29.6,74.7385579,92.52399097,66.7,31.2,41.8,46.9
erick fedde,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommy kahnle,RP,592454,2023,33,165,142,26,15,6,0,5,48,19,29.1,11.5,0.183,0.331,0.28,0.611,0.184,0.294,0.272,0.263,0.282,0.11,0.32,0.303,-0.001,0.037,0.009,71.9,86.8,8.2,29.9,4.1,7.2,22.7,76.31142688,92.70100531,64.2,26.4,35.2,45.3
emilio pagan,RP,641941,2023,32,273,248,45,26,12,2,5,65,21,23.8,7.7,0.181,0.306,0.246,0.552,0.221,0.402,0.241,0.296,0.285,0.181,0.276,0.357,-0.04,-0.096,-0.055,71.4,90.6,19.9,34.4,7.5,9.7,45.2,81.32029457,94.54476223,75.6,20.1,24.4,54.6
ryan helsley,RP,664854,2023,28,146,125,22,14,6,1,1,52,17,35.6,11.6,0.176,0.264,0.274,0.538,0.156,0.239,0.243,0.233,0.262,0.083,0.308,0.289,0.02,0.025,0.01,70.6,88.6,15.5,27.6,3.9,9.2,39.5,77.89145395,93.9362575,68.6,26.8,35,49.9
nestor cortes,SP,641482,2023,28,266,242,59,33,15,0,11,67,20,25.2,7.5,0.244,0.442,0.308,0.75,0.216,0.39,0.323,0.296,0.285,0.174,0.397,0.356,0.028,0.052,0.027,72.5,89.6,26.6,33,7.4,8.5,41.5,79.26095818,94.1314096,70.7,20.3,24.2,49.4
wade miley,SP,489119,2023,36,490,443,99,60,22,1,16,79,38,16.1,7.8,0.223,0.386,0.287,0.673,0.253,0.418,0.293,0.32,0.316,0.165,0.31,0.347,-0.03,-0.032,-0.027,72.3,87.3,10.8,30,7.6,4.6,31.3,76.41179978,93.14768366,64.7,14.2,19.1,45.1
jordan romano,RP,605447,2023,30,248,220,48,32,9,1,6,72,24,29,9.7,0.218,0.35,0.301,0.651,0.214,0.352,0.281,0.28,0.297,0.138,0.358,0.356,0.004,-0.002,0.001,70.7,89,16.6,34,7.3,8.7,36.7,78.43683027,93.98318372,68.8,22.8,35.9,50.3
merrill kelly,SP,518876,2023,34,721,645,143,90,30,3,20,187,68,25.9,9.4,0.222,0.371,0.299,0.67,0.244,0.389,0.294,0.312,0.319,0.145,0.35,0.379,-0.022,-0.018,-0.018,72.3,89.6,11.8,35.1,7.8,7.4,41.8,78.63139686,94.55945668,68.3,18.1,27,49.1
