Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,p_era,p_swinging_strike,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,arm_angle
carlos carrasco,SP,471911,2025,38,212,193,61,35,15,1,10,34,17,16,8,0.316,0.56,0.368,0.928,0.338,7.09,74,0.298,0.488,0.394,0.368,0.358,0.19,0.446,0.412,0.018,0.072,0.026,72.5,90.7,16.6,38.5,10.6,7.5,42.9,79.76960026,94.95499705,68.8,11.5,22.5,45.6,34.5
hector neris,RP,593576,2025,36,124,104,29,14,9,0,6,35,16,28.2,12.9,0.279,0.538,0.377,0.915,0.359,6.75,64,0.236,0.466,0.389,0.346,0.341,0.231,0.513,0.441,0.043,0.072,0.043,72.9,91.4,23.7,40.3,13.9,6.9,44.4,81.64930882,95.08987427,66.1,18.5,28.6,46.5,38.7
joey lucchesi,RP,664192,2025,32,98,92,22,16,4,0,2,21,5,21.4,5.1,0.239,0.348,0.278,0.626,0.29,3.13,28,0.219,0.33,0.275,0.259,0.26,0.11,0.327,0.305,0.02,0.018,0.016,70.6,88,7.2,25,4.2,1.4,31.9,78.03585917,93.05683113,60.7,13.8,23.2,45.5,48.6
tyler alexander,RP,641302,2025,30,343,310,80,60,12,3,5,71,28,20.7,8.2,0.258,0.365,0.321,0.686,0.319,4.67,129,0.281,0.434,0.299,0.334,0.342,0.153,0.346,0.396,-0.023,-0.069,-0.035,71.1,89.1,15.9,38.4,5.4,7.4,40.5,77.94714547,94.38802228,67.6,16.4,23.2,49.2,33.2
erasmo ramirez,RP,541640,2025,35,36,33,8,5,1,0,2,5,2,13.9,5.6,0.242,0.455,0.278,0.733,0.222,2.79,10,0.259,0.402,0.299,0.287,0.293,0.143,0.336,0.322,-0.017,0.053,0.012,72.5,84.3,19.1,37.9,6.9,3.4,27.6,70.87768133,93.21919724,73.6,18.9,16.7,49.6,32.6
trevor richards,RP,670950,2025,32,29,25,11,9,2,0,0,5,2,17.2,6.9,0.44,0.52,0.464,0.984,0.524,7.94,11,0.268,0.321,0.423,0.295,0.326,0.053,0.498,0.327,0.172,0.199,0.128,71.3,85.1,14.7,54.5,0,4.5,22.7,75.15298,91.95812048,69.1,15.8,20.7,50,52.3
sean newcomb,RP,656794,2025,32,349,311,86,69,12,0,5,83,28,23.8,8,0.277,0.363,0.344,0.707,0.36,2.94,110,0.254,0.376,0.314,0.309,0.326,0.121,0.375,0.369,0.023,-0.013,0.005,71.6,89.2,9.9,32.8,5.6,5.6,41.8,78.24600142,94.32818934,64.4,14.9,21.3,46.4,31
shelby miller,RP,571946,2025,34,168,150,30,21,4,0,5,49,12,29.2,7.1,0.2,0.327,0.268,0.595,0.253,2.63,94,0.235,0.39,0.256,0.296,0.301,0.155,0.325,0.388,-0.035,-0.063,-0.04,71.7,89.3,15.1,35.6,8.7,5.8,42.3,77.86725942,94.63565379,64.9,22,32,50.5,43.9
bryse wilson,RP,669060,2025,27,218,194,67,44,10,2,11,27,19,12.4,8.7,0.345,0.588,0.406,0.994,0.354,6.95,60,0.346,0.588,0.422,0.431,0.411,0.243,0.456,0.467,-0.001,0,-0.009,71.6,91.1,16.5,39.1,10.1,7.1,45,80.09823268,95.40852683,67,9.8,17,47.2,39.6
tim mayza,RP,641835,2025,33,40,37,9,4,4,0,1,8,1,20,2.5,0.243,0.432,0.275,0.707,0.276,2.89,16,0.196,0.366,0.3,0.27,0.244,0.17,0.353,0.313,0.047,0.066,0.03,71.3,88.9,10.7,33.3,10,10,36.7,80.24720333,92.77981667,60.2,15.1,24.4,48.1,40.7
