Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,WAR,OPS+,Rbat+,Position,player_age
adam frazier,319,354.2,78.2,56.5,14.7,0.7,6.3,59.3,23.5,17.01,6.65,0.2431,0.3494,0.3066,0.656,35.6,113,3.8,7.1,0.2501,0.3366,0.2897,0.289,0.3135,0.0867,0.3097,0.3096,-0.007,0.0128,0.0007,66.25,85.24,14.68,39.85,2.04,5.49,22.42,94.92338193,91.48232314,68.63,12.39,18.68,49.51,-1.5,26.56,1.08,85.6,85.2,2B,33
alex bregman,449.7,508,122.9,74.6,26.1,1.4,20.8,69.7,49.6,14.13,9.81,0.2794,0.4906,0.3591,0.8497,68.1,195.1,1,2,0.2623,0.4431,0.366,0.3434,0.3453,0.1806,0.3877,0.3572,0.0171,0.0475,0.0226,71.08,89.8,18.38,33.23,7.2,8.04,42.79,99.26417337,94.01734797,62.3,8.75,14.06,41.81,0,26.27,3.86,126,127.4,3B,31
amed rosario,279.6,295.8,76.7,54.2,15.4,2.5,4.6,53.2,12,16.92,3.94,0.2776,0.4106,0.3123,0.7229,30.7,125,1.9,7.4,0.2842,0.4237,0.3136,0.324,0.3202,0.1395,0.3568,0.369,-0.0066,-0.0131,-0.0104,72.15,89.33,7.75,34.71,5.06,6.8,41.14,100.4066337,94.4133399,72.42,13.44,22.4,54.79,-1.2,28.23,0.2,100.6,101.9,SS,29
andrew mccutchen,403.9,469.6,96.7,64.8,17.7,0.3,13.9,108.4,57.9,22.96,12.37,0.2398,0.3867,0.338,0.7247,44.1,160.1,1.7,3.6,0.2545,0.4251,0.321,0.3407,0.3516,0.1706,0.3616,0.3927,-0.0147,-0.0384,-0.0197,71.77,89.27,13.85,33.61,9.61,5.87,42.14,100.0381069,94.27781558,67.26,21.17,27.95,43.87,0.2,27.27,0.82,106.5,106.6,DH,38
austin hays,313.5,343.7,82.6,51.4,18.6,2.9,9.7,85.9,22.8,24.91,6.44,0.261,0.4306,0.3149,0.7455,43.4,135.8,0.8,3.6,0.2391,0.4089,0.3204,0.3084,0.2977,0.1701,0.399,0.3809,0.0219,0.0217,0.012,72.17,88.9,13.7,31.61,9.49,6.36,38.63,99.8907005,94.08965629,70.34,20.31,30.51,51.44,1.11E-16,27.41,0.92,105.2,104,LF,29
austin hedges,135.6,155.2,21.3,15.6,3.4,0,2.3,42.4,11,27.75,7.32,0.1544,0.2344,0.2262,0.4606,10.7,66.4,0,1.3,0.1621,0.239,0.2101,0.2174,0.2352,0.0769,0.2386,0.2476,-0.0077,-0.0046,-0.0073,70.38,86.83,22.5,26.85,1.62,6.51,29.55,97.04030311,92.63307284,75.4,21.38,31.17,52.87,0,25.04,-0.52,23.4,17.2,C,32
austin slater,155.1,176,35.6,25,6,0.5,4.1,49.1,17.3,27.84,9.48,0.2282,0.3598,0.3079,0.6677,15.4,71.8,1,1.8,0.2611,0.4578,0.2969,0.3465,0.3381,0.197,0.3622,0.4422,-0.0329,-0.098,-0.0496,71.03,90.88,8.01,38.73,10.95,8.37,45.46,101.2911694,95.25032949,68.32,20.42,27.1,46.16,0.4,28.05,0.15,87.7,91.7,LF,32
bo bichette,469,501,133.5,89.6,29.3,1.4,13.2,83.2,27.4,16.82,5.55,0.2767,0.4231,0.3204,0.7435,64.9,172.1,2.4,4.5,0.2904,0.4564,0.322,0.343,0.3349,0.1658,0.3629,0.3909,-0.0137,-0.0333,-0.021,69.74,90.25,7.5,35.8,7.29,7.78,46.43,101.5427313,95.2233149,74.01,11.37,20.12,54.89,0,26.71,2.42,107.9,109.6,SS,27
brandon lowe,384.4,424.7,98.1,59.3,15.2,1.1,22.5,110.4,33.4,25.98,7.84,0.2549,0.476,0.3184,0.7944,61.5,149.9,1.3,4.4,0.258,0.4863,0.3403,0.3455,0.3214,0.2283,0.4288,0.4376,-0.0031,-0.0103,-0.0052,73.36,91.12,15,36.8,12.16,6.18,46.31,101.5642831,95.23089664,78.05,22.18,32.21,54.46,0,26.97,1.94,118.2,119.1,2B,30
brendan rodgers,243.4,264.1,60.4,41.7,12.5,0.5,5.7,70.8,17,29.58,7.18,0.2272,0.3387,0.2898,0.6285,25.7,104.8,0.5,0.3,0.2396,0.4062,0.2791,0.3082,0.3006,0.1668,0.3546,0.4093,-0.0124,-0.0675,-0.0291,72.96,89.7,7.83,37.09,11.01,6.67,45.55,101.2330258,94.83720999,65.74,19.09,31.75,48.01,0,26.26,0.35,70,74.9,2B,28
carlos santana,460.8,526,107.6,71.5,18.9,0.2,17,91.5,58.5,17.52,11.17,0.2324,0.3788,0.3215,0.7003,64,210.9,0,5.9,0.2353,0.3796,0.3094,0.3116,0.3251,0.1443,0.323,0.326,-0.0029,-0.0008,-0.0022,71.52,88.27,15.69,31.13,6.08,6.32,38.05,99.37045987,93.79997203,66.21,16.07,23.46,44.5,0,25.75,1.84,92.7,91.8,1B,39
cedric mullins,397,447.7,90.5,52.2,20.4,1.5,16.4,100.6,40.4,22.62,9.06,0.2273,0.4112,0.3015,0.7127,57.5,166.6,4.4,21.4,0.221,0.3537,0.3097,0.29,0.2978,0.1327,0.3584,0.3293,0.0063,0.0575,0.0197,71.07,88.31,22.42,31.98,5.72,5.67,35.09,98.43408455,93.33935305,71,16.55,22.21,49.89,2.9,28.29,1.39,99.9,100,CF,30
chris taylor,167.5,189.1,35.9,22.6,8.1,0.5,4.7,61.8,17.1,33.99,6.21,0.205,0.3335,0.2781,0.6116,21.1,78.6,1.4,5.2,0.2088,0.3444,0.2717,0.2783,0.2813,0.1356,0.3654,0.3767,-0.0038,-0.0109,-0.0066,70.24,84.71,19.87,42.23,7.49,6.54,30.81,96.85780882,92.52750807,71.9,29.42,36.25,49.83,-0.5,27.89,0.27,41.4,45,3B,34
christian vazquez,242.6,265,49.6,36.2,9.1,0,4.3,52.4,16.3,19.1,6.45,0.1979,0.2852,0.2559,0.5411,21,114.6,0.8,1.1,0.2192,0.3197,0.2423,0.265,0.2765,0.101,0.2607,0.2911,-0.0213,-0.0345,-0.0227,67.36,86.79,14.53,36.08,3.83,5.83,31.14,96.66144921,92.42715857,64.01,14.19,20.08,46.9,0,24.79,-0.19,50.6,50.6,C,34
cody bellinger,478.6,527.9,132.7,83.8,22.7,3.6,22.6,76.1,40,14.3,7.56,0.2772,0.4828,0.3312,0.814,78.8,214.8,2.8,11.7,0.2587,0.4286,0.3461,0.3217,0.3172,0.1702,0.3767,0.3452,0.0185,0.0542,0.0244,69.8,88.42,17.91,35.67,6.81,7,36.15,98.25967258,93.27281426,67.29,14.2,19.68,49.47,3.1,28.33,3.82,125.4,123.6,CF,29
danny jansen,259.5,301.4,54.3,30.8,11.9,0,11.6,68.2,34.6,22.76,11.46,0.2091,0.3895,0.3121,0.7016,32.8,116,0,0,0.2061,0.3618,0.3094,0.3009,0.3108,0.1552,0.3419,0.3283,0.003,0.0277,0.0085,69.58,87.84,23.05,35.21,8.41,8.23,36.89,98.44645244,93.41319867,65.17,16.48,22.8,43.14,0,26.45,1.38,92.1,94.4,C,30
dominic smith,262.4,292.3,67,45.8,15.3,0.2,5.7,56,24.3,19.59,8.23,0.2617,0.3881,0.3306,0.7187,30.9,116,0.5,1.5,0.2449,0.3908,0.317,0.3111,0.3171,0.1459,0.3535,0.3461,0.0168,-0.0027,0.0059,68.31,87.8,14.51,38.96,6.55,6.99,34.32,97.97458548,93.15354437,66.37,14.97,22.52,47.64,0,25.49,0.3,103.5,102.8,1B,30
donovan solano,243.7,269.2,67,50.3,11.1,0.7,4.9,57.5,18.6,21.14,6.21,0.2702,0.3783,0.3272,0.7055,28.6,101.1,0.3,0.6,0.2514,0.3672,0.311,0.2978,0.3098,0.1158,0.3608,0.3429,0.0188,0.0111,0.0132,66.7,87.98,12.88,37.57,4.33,6.21,38.61,98.42565502,93.40022457,64.97,14.92,24.73,49.34,0,25.23,0.62,97.3,100.4,2B,37
dylan moore,234.4,270.8,46.7,25.2,11.2,1.4,8.9,85.6,28.6,32.9,10.04,0.1992,0.3772,0.2891,0.6663,25.9,106.1,4.4,17,0.2004,0.3551,0.2932,0.29,0.2927,0.1552,0.3839,0.3789,-0.0012,0.0221,0.0032,72.29,86.52,21.36,37.94,10.27,7.89,36.97,98.62925012,93.42302466,67.14,25.39,31.37,46.42,-0.8,27.74,0.96,94.1,98.5,2B,32
elias diaz,306.7,335.5,73.8,52,14.5,0.2,7.1,76.8,23.3,23.39,7.21,0.2309,0.3439,0.2911,0.635,37.1,149.6,0,0.2,0.2181,0.3266,0.2807,0.2697,0.2803,0.1085,0.3289,0.3139,0.0128,0.0173,0.011,73.09,87.6,13.42,28.74,5.7,4,36.73,99.46132538,93.82263381,73.88,21.12,30.87,52.35,0,24.82,0.64,77.2,75.2,C,34
eloy jimenez,188.4,202.5,47.9,33.7,8.8,0,5.4,39.6,12.6,9.83,3.11,0.1258,0.189,0.1501,0.3391,19.7,79.2,0,0.9,0.126,0.1998,0.1478,0.1528,0.1507,0.0738,0.1698,0.1769,-0.0002,-0.0108,-0.005,37.21,45.78,2.43,12.73,4.2,2.21,24.06,51.58860958,48.04875499,35.29,8.21,13.8,25.49,-0.2,12.86,-0.11,44.9,45,DH,0
eugenio suarez,518.4,585.8,125.6,66.9,25.7,0.6,32.4,166.6,44.7,28.31,7.48,0.2417,0.4879,0.3133,0.8012,96.5,236.3,1,2.5,0.2312,0.4624,0.3417,0.3313,0.3063,0.2315,0.4409,0.4249,0.0105,0.0255,0.0104,72.32,90.09,20.78,35.31,13.23,7.93,46.17,101.1456327,94.91762828,67.96,20.81,31.74,48.51,0,26.48,2.96,119.6,120.5,3B,33
gary sanchez,240,267,52,24,9,0,19,67,21,25.1,7.9,0.217,0.492,0.288,0.78,47,119,0,0,0.233,0.502,0.329,0.343,0.305,0.269,0.403,0.424,-0.016,-0.01,-0.014,73.4,90.1,16.5,27.4,15.4,5.1,44.6,101.7053643,95.14394686,57.8,16.6,27.6,41.8,0,24.9,2.1,110,111,DH,32
gleyber torres,501.8,576.9,131.9,93.1,22.4,0.4,16,95.9,64.4,16.37,11.44,0.2627,0.404,0.3484,0.7524,61.5,183.4,2.6,5.8,0.2729,0.455,0.3316,0.355,0.359,0.1826,0.346,0.3788,-0.0102,-0.051,-0.0234,70.52,89.77,15.27,38.32,8.07,7.33,38.63,99.48211958,94.04811409,67.29,16.29,20.98,43.67,0,26.36,2.17,109.2,112.1,2B,28
ha-seong kim,270.5,312.7,65.2,45.7,10.9,0.9,7.7,59.4,36.4,21.23,10.39,0.2289,0.3511,0.3142,0.6653,28.6,110.8,3.8,17.2,0.238,0.3484,0.2959,0.301,0.3235,0.1109,0.3253,0.3329,-0.0091,0.0027,-0.0051,69.34,87.81,14.25,34.6,5.58,5.88,36.46,98.46139705,93.3347556,52.83,16.28,18.94,38.13,0,27.79,1.86,50.2,51.8,SS,29
harrison bader,340.4,377.4,81.8,54.8,15.1,0.4,11.5,85.3,25.2,22.65,6.77,0.2407,0.39,0.305,0.695,44.3,149.4,5.5,14.1,0.2309,0.3761,0.3037,0.2978,0.2983,0.1457,0.3563,0.3461,0.0098,0.0139,0.0059,72.22,86.79,13.33,31.63,8.08,5.5,37.44,99.32134425,93.7137269,62.05,17.63,26.82,46.68,7.1,28.57,2.24,98.1,95.9,CF,31
ildemaro vargas,149,163.6,37.3,26.9,8.4,0.4,1.6,16.8,9.5,15.76,3.21,0.2577,0.3839,0.2943,0.6782,17.2,64,1.4,2.9,0.254,0.3657,0.2962,0.2881,0.2914,0.1117,0.3323,0.321,0.0037,0.0182,0.0081,69.88,88.82,7.57,29.25,2.99,2.02,37.58,98.44947214,93.56601681,66.24,14.54,20.45,52.5,0,27.16,0.01,39.2,38.6,2B,33
isiah kiner-falefa,389.7,419,101.8,79,16.3,2.4,4.1,68.4,18.9,16.44,4.67,0.2601,0.3443,0.3035,0.6478,36.8,154.9,3.1,13.6,0.2511,0.3284,0.2864,0.2784,0.2965,0.0771,0.3156,0.3053,0.009,0.0159,0.008,66.85,85.89,5.87,31.18,2.11,3.83,29.7,96.64906151,92.36585479,62.08,9.21,15.81,47.11,-0.4,27.53,1.78,81.2,81.6,2B,30
j.t. realmuto,409.3,445.4,109.9,72.9,22.5,1.8,12.7,107.2,28.6,24.03,6.4,0.2692,0.4241,0.3241,0.7482,46.7,172,2.6,6.8,0.2712,0.4496,0.3246,0.3355,0.3262,0.1789,0.3994,0.4154,-0.002,-0.0255,-0.0109,72.86,89.82,11.11,37.31,9.76,7.86,46.19,101.4602482,95.03366464,68.01,16.33,25.05,49.8,0,28.39,2.8,101.3,103.4,C,34
jacob stallings,180.6,204,36.4,22.9,9.9,0.3,3.3,52.9,16.5,27.29,7.19,0.1841,0.2771,0.2602,0.5373,19.3,87,0,0,0.1931,0.2872,0.2426,0.2508,0.2694,0.0946,0.2787,0.2926,-0.009,-0.0101,-0.0082,67.27,86.42,10.96,33.02,3.93,5.18,31.51,96.52127827,92.37321857,66.7,21.42,30.55,49.6,0,23.69,-0.32,45,40.6,C,35
james mccann,142.6,158.1,33.2,21.6,6.5,0,5.1,38.7,9.7,24.44,7.13,0.2361,0.3878,0.306,0.6938,19,60.7,0.2,0.9,0.2419,0.3966,0.3042,0.3147,0.3157,0.1547,0.3608,0.3759,-0.0058,-0.0088,-0.0105,71.09,90.38,9.74,33.05,6.8,7.39,46.04,100.9966712,94.79018975,69.33,18.96,29.96,50.72,0,25.95,0.34,43.1,43.9,C,35
jarren duran,514.7,570.4,141.4,78.7,38.2,10.6,13.9,132,44.5,23.42,7.76,0.275,0.4695,0.3398,0.8093,65,171.3,5,25,0.2659,0.4301,0.3479,0.3347,0.3338,0.1644,0.4221,0.4038,0.0091,0.0394,0.0132,74.11,91.42,11.14,33.89,9.05,7.67,46.63,102.811557,95.88786493,67.15,15.74,26.86,48.29,1.3,29.33,5,121,124,CF,28
jesse winker,197.2,232.3,47.3,31,10.4,1,4.9,52.5,28.6,24.4,11.91,0.2302,0.3709,0.3265,0.6974,27,80.6,1.2,4.7,0.2228,0.3599,0.3057,0.3021,0.3219,0.1371,0.3482,0.3435,0.0074,0.011,0.0036,70.38,88.69,17.17,30.45,7.04,7.57,40.15,99.70175731,94.1225419,67,16.67,22.1,44.03,-2.7,25.43,0.46,46.9,49.6,LF,31
joc pederson,268.2,321.7,60.1,35.4,10.9,1.4,12.4,69.8,40.9,21.25,12.69,0.2045,0.3792,0.3255,0.7047,33.9,120.4,1.2,3.1,0.2402,0.4274,0.313,0.3456,0.3576,0.1874,0.3314,0.3806,-0.0357,-0.0482,-0.0326,73.14,91.91,16.46,30.21,10.81,6.03,47.4,102.2516553,95.71418088,63.31,17.15,24.62,44.04,-0.8,25.63,0.91,107.9,109.7,DH,33
joey gallo,123.3,144.4,20.8,8.9,4.5,0.2,7.2,59,19.2,20.32,6.59,0.0837,0.1888,0.1433,0.3321,16.1,64.1,0.5,1.1,0.0817,0.1842,0.1468,0.1445,0.1415,0.1028,0.2173,0.212,0.002,0.0046,0.0023,36.5,45.75,13.11,15.56,7.79,3.6,23.6,50.9699621,47.80715625,34.81,16.67,20.74,23.01,0.1,13.27,0.19,41.9,43.2,1B,0
jorge mateo,151.7,164.9,32.5,19.6,8.5,1,3.4,42.3,9.4,29.31,5.8,0.2021,0.3278,0.249,0.5768,13.7,68.9,2.1,17.3,0.2099,0.3184,0.2523,0.2546,0.2575,0.1085,0.3257,0.3297,-0.0078,0.0094,-0.0023,72.33,88.11,14.21,26.57,4.91,6.75,36.57,99.21679201,93.75848788,67.91,18.63,28.4,53.07,-1,29.64,0.43,41.3,39.5,SS,30
jose iglesias,204.5,227.3,55.8,44.5,9.3,0.3,1.7,35.2,14.6,12.42,5.18,0.2166,0.2739,0.2678,0.5417,21.8,81.5,1.1,3.8,0.207,0.2592,0.2431,0.2347,0.2603,0.0522,0.2545,0.2442,0.0096,0.0147,0.0084,55.19,67.54,4.05,24.51,0.91,2.49,21.88,76.62725183,73.55044366,46.84,9.53,13.51,37.95,0,22.43,0.43,69.3,74.3,3B,35
josh bell,456.8,517.3,109.7,72.5,18.5,1.1,17.6,99.3,51.9,18.86,10.24,0.2381,0.3988,0.3227,0.7215,57.6,193.4,1.5,0,0.2515,0.4364,0.3172,0.337,0.3352,0.1854,0.3441,0.372,-0.0134,-0.0376,-0.0198,72.03,89.49,9.71,31.03,9.8,6.27,43.13,101.4413913,94.91695628,70.08,17.18,25.15,47.28,0,25.3,-0.05,99,98.2,DH,32
